Episode,HouseholdID,Total Reward,Selected Encryption Ratio,Average Attack Duration,Average ASR Mean,Sum Remaining Entropy,Average Memory MiB,Summation Error,Deviation Error,Encryption Time,Decryption Time,Summation Operations Time,Deviation Operations Time
23,8b16208d-a25d-4554-abfe-6ab4363c7388.csv,-1.2580764,0.6,0.015327205431914681,0.9618018018018014,0.07290389998014651,0.2417582417582418,5.131576517457662e-06,8.21941117920788e-13,0.0,0.0,0.0,0.0
24,0d060044-7b49-4fb7-9ad1-bc0f959d88e1.csv,-1.4460958,0.7,0.026876499138208998,0.9594594594594591,0.11821672992010243,0.10989010989010994,3.3005404626431156e-05,6.759447293579634e-12,0.1415794897858343,0.0,0.14916879676101275,0.0
25,2aa6ee4b-eadb-4d51-9737-8cf5de22210a.csv,-2.06309,0.6,0.015327205431914681,0.9618018018018014,0.08485346523272383,0.2417582417582418,5.5108227530007705e-06,5.884225517279145e-13,0.647537164880776,0.0,0.0,0.14552662951565057
26,f5850315-552a-440f-9871-173212ad467f.csv,-1.6895165,0.3,0.00573865570292853,0.9999999999999999,0.1139741078315733,0.5824175824175826,1.1270410884221211e-05,1.7279579909931313e-12,0.0,0.0,0.0,0.0
27,1e8c8712-0046-428d-864f-14d2357fb1d5.csv,-2.268818,0.6,0.015327205431914681,0.9618018018018014,0.028600407444832353,0.2417582417582418,2.8964938032236783e-06,1.137671035814171e-13,0.08520745979981083,0.0,0.9698397298356252,0.0
28,2c6c0f07-5a00-4a34-9bfd-30beee6d57c2.csv,-1.759688,0.6,0.015327205431914681,0.9618018018018014,0.08624755489321817,0.2417582417582418,4.885656346561655e-06,8.889576571223726e-13,0.48826818008555334,0.0,0.0,0.0
29,0d060044-7b49-4fb7-9ad1-bc0f959d88e1.csv,-1.9685698,0.8,0.29358815625972645,0.40540540540540526,0.08051927803715034,1.0,4.186969413963324e-05,6.2265284030291015e-12,0.0,0.0,0.0,0.8349090169767206
30,47da96ed-3d5a-4b11-b273-77ce66a8b3d7.csv,-1.8025292,0.5,0.00014911052827026872,0.9954954954954952,0.08193785888302185,0.7252747252747254,1.9427149954539848e-08,1.5833755872543942e-13,0.0,0.0,0.0,0.0
31,9094d2a3-390e-4e13-b576-5187befcf2a9.csv,-1.564675,0.1,0.01770567977488524,0.9978378378378377,0.10691631530456355,0.3296703296703296,2.8346078199902753e-05,5.569795507434276e-13,0.0,0.0,0.0,0.1514689437836739
32,364b9911-6859-464e-a5e3-41149f8e2986.csv,-1.3773198,0.6,0.015327205431914681,0.9618018018018014,0.08101727266375358,0.2417582417582418,2.1701974836475632e-05,3.0136721920862186e-12,0.1111134640633603,0.0,0.0,0.0
33,e363b1f3-f503-48b4-b87c-98fe07632c02.csv,-1.5666037,0.8,0.29358815625972645,0.40540540540540526,-0.0019014680207785056,1.0,5.18298959954988e-09,2.672600271943681e-15,0.2846836926291418,0.0,0.23072186876131126,0.0
34,c0e7463c-8ed6-49b3-b4fd-a69449d8cee5.csv,-1.6474291,0.3,0.00573865570292853,0.9999999999999999,0.07189341207942126,0.5824175824175826,4.490335594377806e-06,5.829262882542745e-11,0.0,0.0,0.0,0.0
35,456cd5f9-5efa-40bd-8bbf-0f569692c390.csv,-1.3788966,0.1,0.01770567977488524,0.9978378378378377,0.07262435340052811,0.3296703296703296,1.0856061673898557e-05,2.807465862456913e-13,0.0,0.0,0.0,0.0
36,1c5830aa-89f2-4b25-8953-4d644a34bfdc.csv,-2.1024182,0.7,0.026876499138208998,0.9594594594594591,0.024415267016874315,0.10989010989010994,7.334111506830017e-06,3.7023470371711346e-13,0.1792031962503353,0.0,0.6765957049834879,0.1850989307530936
37,6fffd62f-739b-4202-973d-df2d07470d87.csv,-0.27623832,0.9,1.0000000000000004,0.0,0.023775744593934552,0.5384615384615383,9.088770954390858e-06,3.685804228431867e-13,0.7259963576299182,0.0,0.18799559676847585,0.0
38,364b9911-6859-464e-a5e3-41149f8e2986.csv,-1.8016214,0.5,0.00014911052827026872,0.9954954954954952,0.08101727266375358,0.7252747252747254,1.2887558006485765e-05,3.1527457419232403e-12,0.0,0.0,0.0,0.0
39,2cf06c46-efd4-4c3c-8318-e504fc17ad08.csv,-1.0352118,0.4,0.0,0.9663063063063057,0.0579113181272218,0.01098901098901095,5.205008244304192e-06,3.520325668393498e-13,0.0,0.0,0.0,0.0
40,9ea6de13-dd18-4319-8b26-c0c1db8b9449.csv,-2.2486615,0.5,0.00014911052827026872,0.9954954954954952,0.10971966439578634,0.7252747252747254,2.908273326218789e-07,1.7850730497162778e-12,0.41835020400096,0.0,0.0,0.0
41,e41dddd2-87dd-4d4b-bdb6-9859c34768f1.csv,-2.3225913,0.6,0.015327205431914681,0.9618018018018014,0.03778239205004905,0.2417582417582418,1.7562723359689745e-06,3.024332739402297e-13,0.6379441785608403,0.0,0.46169561729201264,0.0
42,cad98ba0-ebb5-4f15-bc8f-09a617dd4d05.csv,-1.6382631,0.3,0.00573865570292853,0.9999999999999999,0.06272776931232374,0.5824175824175826,4.172759686187204e-06,3.387344737932058e-13,0.0,0.0,0.0,0.0
43,c996d9cf-7826-4154-b141-e3e5e5a7b4aa.csv,-1.7123067,0.4,0.0,0.9663063063063057,0.028278366812997068,0.01098901098901095,7.391196881717604e-06,9.51158296070515e-11,0.7067256787090763,0.0,0.0,0.0
44,09967234-a409-420a-bc5a-1474bb4790f3.csv,-2.2119577,0.4,0.0,0.9663063063063057,0.10558621000437884,0.01098901098901095,8.63964497110509e-06,1.2028782452853183e-12,0.0,0.0,0.9506595518405881,0.17840805123513268
45,d1f0f31d-17e2-484a-9b09-6b7cfc568102.csv,-1.5665855,0.8,0.29358815625972645,0.40540540540540526,0.06855886216838566,1.0,2.1423833142770016e-05,1.5018276008519006e-12,0.4449056230852851,0.0,0.0,0.0
46,d1f0f31d-17e2-484a-9b09-6b7cfc568102.csv,-1.8840253,0.1,0.01770567977488524,0.9978378378378377,0.10340184458413879,0.3296703296703296,2.812944373240584e-05,1.1508882498227214e-12,0.4743339968658676,0.0,0.0,0.0
47,70879f4e-5141-4cd6-8fc2-ba54fc7e58a5.csv,-1.8123363,0.4,0.0,0.9663063063063057,0.10642516612965702,0.01098901098901095,7.72448485985066e-06,2.3344128942034115e-12,0.7286081346265159,0.0,0.0,0.0
48,9bb98e59-e609-45db-a659-030dd644968f.csv,-1.0628371,0.4,0.0,0.9663063063063057,0.08553742796375505,0.01098901098901095,4.364240343964801e-06,6.076909304094602e-13,0.0,0.0,0.0,0.0
49,9cbc1567-3633-4ec7-baa4-912a08e1cb88.csv,-1.3766592,0.1,0.01770567977488524,0.9978378378378377,0.07038341233538267,0.3296703296703296,1.4443632838532446e-05,8.084946872835517e-13,0.0,0.0,0.0,0.0
50,10595ac6-509a-49eb-8e4b-6c454977e095.csv,-1.2788666,0.7,0.026876499138208998,0.9594594594594591,0.05662136274348389,0.10989010989010994,2.4251860740397917e-06,1.4854318013684833e-13,0.0,0.0,0.0,0.18514513848457123
51,e363b1f3-f503-48b4-b87c-98fe07632c02.csv,-1.1832706,0.6,0.015327205431914681,0.9618018018018014,-0.0018967869398388267,0.2417582417582418,8.481255708354348e-09,3.546849534921196e-15,0.0,0.0,0.0,0.0
52,f5a28746-11f7-423f-9ae0-204a9b6d50ac.csv,-1.0240186,0.4,0.0,0.9663063063063057,0.04671852043595873,0.01098901098901095,4.767770516774393e-06,5.479206769041893e-13,0.0,0.0,0.0,0.0
53,693f9c40-4699-4ef5-b18a-3300cfd91572.csv,-2.2158954,0.5,0.00014911052827026872,0.9954954954954952,0.061356473855483436,0.7252747252747254,1.6122903347170243e-06,1.240114400754522e-12,0.0,0.0,0.0,0.4339460478527267
54,fc15a343-5276-4ce0-be8c-34087ae69070.csv,-1.9850624,0.7,0.026876499138208998,0.9594594594594591,0.10365445757106947,0.10989010989010994,1.047395210847306e-05,1.1362609209689346e-12,0.5326895655979558,0.0,0.1869600910498722,0.12464997643405695
55,c5c103dc-1812-474c-8d40-03e844585f5b.csv,0.14722414,0.9,1.0000000000000004,0.0,0.045343998796350996,0.5384615384615383,2.6495787157509716e-05,2.669776495250168e-12,0.2832719212796295,0.0,0.0,0.18567190662341623
56,8d2aa3f4-dab3-40e7-873c-af846d4e2a9c.csv,-1.3491068,0.8,0.29358815625972645,0.40540540540540526,0.029970969460419425,1.0,9.104410534805183e-06,2.8394369268450136e-13,0.26602713424533764,0.0,0.0,0.0
57,dbffe40c-8549-4d27-9b68-a3f1b580f28c.csv,-1.7889177,0.3,0.00573865570292853,0.9999999999999999,0.09844678738337903,0.5824175824175826,1.7226390827736182e-05,4.4877595315558253e-13,0.0,0.0,0.11492247700430995,0.0
58,cd2a63c5-e1ab-4000-a286-9628f856af4b.csv,-1.0215437,0.2,0.017611196178711985,0.9708108108108106,0.07185544331179941,0.0,1.0936234911547778e-05,2.431346107607929e-12,0.0,0.0,0.0,0.0
59,c996d9cf-7826-4154-b141-e3e5e5a7b4aa.csv,-1.4719456,0.1,0.01770567977488524,0.9978378378378377,0.028278366812997068,0.3296703296703296,8.018411113733631e-07,3.650442171173295e-10,0.0,0.0,0.13740507864246135,0.0
60,fc15a343-5276-4ce0-be8c-34087ae69070.csv,-2.4917705,0.5,0.00014911052827026872,0.9954954954954952,0.10365445757106947,0.7252747252747254,2.008571570969382e-06,1.2380347967606653e-12,0.4915081953326839,0.0,0.0,0.17601449074459138
61,364b9911-6859-464e-a5e3-41149f8e2986.csv,-1.3773198,0.6,0.015327205431914681,0.9618018018018014,0.08101727266375358,0.2417582417582418,2.1701974836475632e-05,3.0136721920862186e-12,0.1111134640633603,0.0,0.0,0.0
62,1fe45385-e790-4855-a2fe-7284313ec322.csv,-0.21920645,0.9,1.0000000000000004,0.0,0.030124189173204356,0.5384615384615383,1.4383593521911205e-05,5.340162469187821e-13,0.47755283554275546,0.0,0.0,0.3730534993115048
63,93303633-fdc8-4139-907e-7388d1b92ed5.csv,-1.2835296,0.7,0.026876499138208998,0.9594594594594591,0.06130605096775787,0.10989010989010994,8.372050480065512e-06,6.692640541289561e-13,0.0,0.0,0.0,0.18511741384568467
64,d1f0f31d-17e2-484a-9b09-6b7cfc568102.csv,-1.8091161,0.4,0.0,0.9663063063063057,0.10340184458413879,0.01098901098901095,8.430132583667878e-06,1.6235773360897456e-12,0.7284104866375841,0.0,0.0,0.0
65,364b9911-6859-464e-a5e3-41149f8e2986.csv,-1.0307105,0.2,0.017611196178711985,0.9708108108108106,0.08101727266375358,0.0,1.5751975265484912e-05,2.7741950844607397e-12,0.0,0.0,0.0,0.0
66,128c9821-8849-46d6-a7a7-5709ec799f94.csv,-1.0207903,0.4,0.0,0.9663063063063057,0.04349378777295858,0.01098901098901095,1.2653199889529301e-06,1.8112013732130475e-12,0.0,0.0,0.0,0.0
67,b88ecde4-b4fc-4b25-80da-e5229a2f09e3.csv,-1.3707501,0.4,0.0,0.9663063063063057,0.002598596741365094,0.01098901098901095,1.7738147624327691e-07,1.4402899553497763e-14,0.3908559569692093,0.0,0.0,0.0
68,e158012f-5c69-4a20-9a41-f7acde0e0ddd.csv,-1.5968785,0.2,0.017611196178711985,0.9708108108108106,0.06030557477982579,0.0,2.2249233297777696e-05,5.4162511287397105e-15,0.5868733499922353,0.0,0.0,0.0
69,c5c103dc-1812-474c-8d40-03e844585f5b.csv,-1.2227792,0.8,0.29358815625972645,0.40540540540540526,0.06033166707225249,1.0,2.0376923610630345e-05,2.763226830025726e-12,0.0,0.0,0.0,0.10932749267607456
70,008cfa1c-5152-4b76-a837-b4b799f65dde.csv,-1.2652236,0.4,0.0,0.9663063063063057,0.0693816729986256,0.01098901098901095,4.470527875401844e-06,1.5412779990651122e-12,0.21854220490449366,0.0,0.0,0.0
71,99dbb947-1f56-4d7c-bdf1-3c756aed0f1e.csv,-1.4240211,0.1,0.01770567977488524,0.9978378378378377,0.11772267813945195,0.3296703296703296,3.7065298371286843e-05,1.567643312714831e-12,0.0,0.0,0.0,0.0
72,09967234-a409-420a-bc5a-1474bb4790f3.csv,-2.3950293,0.5,0.00014911052827026872,0.9954954954954952,0.10558621000437884,0.7252747252747254,1.6125259263313195e-07,1.3098640603278227e-12,0.2503282368387616,0.0,0.09819579454073922,0.22032770523163936
73,58c609ee-7ae8-4fbe-8083-d917fa3e8246.csv,-2.3064263,0.1,0.01770567977488524,0.9978378378378377,0.04292176831085045,0.3296703296703296,3.888836965747407e-06,1.3003783078451053e-13,0.0,0.0,0.0,0.9572393652906004
74,e76658cf-88ea-4123-8715-0248909dd88b.csv,-2.0357351,0.7,0.026876499138208998,0.9594594594594591,0.09739504221372666,0.10989010989010994,9.783146581909873e-06,5.875653354478009e-13,0.0,0.0,0.19907830662163928,0.7021542044414871
75,c0e7463c-8ed6-49b3-b4fd-a69449d8cee5.csv,-1.4568183,0.7,0.026876499138208998,0.9594594594594591,0.07189341207942126,0.10989010989010994,3.25938643787859e-05,2.7896791361252612e-11,0.0,0.0,0.16269567326529472,0.1850989307530936
76,d0d09ece-30bb-431f-b812-4e39bfb33198.csv,-1.0495163,0.4,0.0,0.9663063063063057,0.0722181012491154,0.01098901098901095,2.863855466510786e-06,2.386974178203618e-13,0.0,0.0,0.0,0.0
77,77852396-f4a2-4d47-a864-8723417d9591.csv,-1.8334711,0.3,0.00573865570292853,0.9999999999999999,0.008521782015176295,0.5824175824175826,7.920006800163541e-07,2.0522024948021714e-12,0.14191125605296967,0.0,0.10750601712782432,0.0
78,c996d9cf-7826-4154-b141-e3e5e5a7b4aa.csv,0.17682269,0.9,1.0000000000000004,0.0,0.00997016790021059,0.5384615384615383,8.166470640753594e-06,4.230136673553197e-11,0.2869284090748662,0.0,0.18780901916152024,0.0
79,85653d39-0e18-411e-abcd-689056140d21.csv,-1.0793381,0.4,0.0,0.9663063063063057,0.10203438171737664,0.01098901098901095,8.34840082457993e-06,9.219005860163899e-13,0.0,0.0,0.0,0.0
80,58c609ee-7ae8-4fbe-8083-d917fa3e8246.csv,-1.7958018,0.3,0.00573865570292853,0.9999999999999999,0.04292176831085045,0.5824175824175826,2.0746093824380104e-06,1.1349797753998611e-13,0.1773467169257267,0.0,0.0,0.0
81,2be3a38f-550e-4154-82d3-9b808d4b0bf6.csv,-1.1501129,0.2,0.017611196178711985,0.9708108108108106,0.09449766643321422,0.0,2.0494247647929247e-05,1.7182565528898647e-12,0.0,0.0,0.0,0.10591736209302541
82,e363b1f3-f503-48b4-b87c-98fe07632c02.csv,-1.9709066,0.7,0.026876499138208998,0.9594594594594591,-0.0018967869398388267,0.10989010989010994,5.18298959954988e-09,3.0542356942968738e-15,0.7488388180650262,0.0,0.1868668022463944,0.0
83,1c02fc69-0a78-46cb-bf57-226f307fc10a.csv,-2.0766044,0.7,0.026876499138208998,0.9594594594594591,0.09720648069937718,0.10989010989010994,1.4386112527182851e-05,1.8548568796391236e-12,0.7450340942780908,0.0,0.0,0.19725156413171052
84,13c202b0-14dc-42da-b5ca-21d132cc23fc.csv,-1.3491772,0.6,0.015327205431914681,0.9618018018018014,0.08849509932650942,0.2417582417582418,6.130643068696532e-06,1.8299935774817947e-12,0.07550859062866178,0.0,0.0,0.0
85,2cf06c46-efd4-4c3c-8318-e504fc17ad08.csv,-2.1826246,0.1,0.01770567977488524,0.9978378378378377,0.0579113181272218,0.3296703296703296,1.0485351061033207e-05,5.528514777875972e-13,0.0,0.0,0.8184413306714928,0.0
86,d1f0f31d-17e2-484a-9b09-6b7cfc568102.csv,-1.6730189,0.7,0.026876499138208998,0.9594594594594591,0.10340184458413879,0.10989010989010994,1.3277587034895668e-05,1.4621842031010605e-12,0.5325060353225192,0.0,0.0,0.0
87,3fc0af02-ec0a-4572-9824-2b11c6990e4a.csv,-1.9836729,0.2,0.017611196178711985,0.9708108108108106,0.033996332347916665,0.0,0.9999990964200647,1.3358168388985795e-13,0.0,0.0,0.0,0.0
88,85653d39-0e18-411e-abcd-689056140d21.csv,0.19421875,0.9,1.0000000000000004,0.0,0.04730672833670824,0.5384615384615383,2.404696955030748e-05,9.72695243501068e-13,0.0,0.0,0.18829412093960485,0.23169480717513655
89,2aa6ee4b-eadb-4d51-9737-8cf5de22210a.csv,-1.3070585,0.7,0.026876499138208998,0.9594594594594591,0.08485346523272383,0.10989010989010994,8.245882740124378e-06,5.498706484776331e-13,0.0,0.0,0.0,0.1850989307530936
90,364b9911-6859-464e-a5e3-41149f8e2986.csv,-1.0307105,0.2,0.017611196178711985,0.9708108108108106,0.08101727266375358,0.0,1.5751975265484912e-05,2.7741950844607397e-12,0.0,0.0,0.0,0.0
91,c0e7463c-8ed6-49b3-b4fd-a69449d8cee5.csv,-1.4568183,0.7,0.026876499138208998,0.9594594594594591,0.07189341207942126,0.10989010989010994,3.25938643787859e-05,2.7896791361252612e-11,0.0,0.0,0.16269567326529472,0.1850989307530936
92,e76658cf-88ea-4123-8715-0248909dd88b.csv,-1.6679822,0.8,0.29358815625972645,0.40540540540540526,0.060845998743241224,1.0,1.4681271099274582e-05,5.750832946164783e-13,0.36430053788488415,0.0,0.18972143963281526,0.0
93,58c609ee-7ae8-4fbe-8083-d917fa3e8246.csv,-1.7958018,0.3,0.00573865570292853,0.9999999999999999,0.04292176831085045,0.5824175824175826,2.0746093824380104e-06,1.1349797753998611e-13,0.1773467169257267,0.0,0.0,0.0
94,0d060044-7b49-4fb7-9ad1-bc0f959d88e1.csv,-1.4460958,0.7,0.026876499138208998,0.9594594594594591,0.11821672992010243,0.10989010989010994,3.3005404626431156e-05,6.759447293579634e-12,0.1415794897858343,0.0,0.14916879676101275,0.0
95,b88ecde4-b4fc-4b25-80da-e5229a2f09e3.csv,-0.9522766,0.2,0.017611196178711985,0.9708108108108106,0.002598596741365094,0.0,5.985265648092019e-07,8.442403482748542e-15,0.0,0.0,0.0,0.0
96,456cd5f9-5efa-40bd-8bbf-0f569692c390.csv,-1.5595399,0.7,0.026876499138208998,0.9594594594594591,0.07262435340052811,0.10989010989010994,5.083044887570967e-06,3.196617042447166e-13,0.2645659508985925,0.0,0.0,0.18524679549382203
97,93303633-fdc8-4139-907e-7388d1b92ed5.csv,-1.7819002,0.5,0.00014911052827026872,0.9954954954954952,0.06130605096775787,0.7252747252747254,2.873659653221525e-06,7.337782860458899e-13,0.0,0.0,0.0,0.0
98,e76658cf-88ea-4123-8715-0248909dd88b.csv,-1.6679822,0.8,0.29358815625972645,0.40540540540540526,0.060845998743241224,1.0,1.4681271099274582e-05,5.750832946164783e-13,0.36430053788488415,0.0,0.18972143963281526,0.0
99,d0d09ece-30bb-431f-b812-4e39bfb33198.csv,-1.2573881,0.6,0.015327205431914681,0.9618018018018014,0.0722181012491154,0.2417582417582418,2.6114837422178395e-06,2.4367049210296137e-13,0.0,0.0,0.0,0.0
100,f12f91f7-81ca-4b7c-a5e8-3b81c4e5720b.csv,-1.7704065,0.7,0.026876499138208998,0.9594594594594591,0.09681871318503912,0.10989010989010994,9.879720538487441e-06,8.877520813434102e-13,0.532364858187568,0.0,0.0,0.1041152605653978
101,c0e7463c-8ed6-49b3-b4fd-a69449d8cee5.csv,0.020503072,0.9,1.0000000000000004,0.0,0.036269259601049805,0.5384615384615383,3.94089701543519e-05,2.18754605779062e-11,0.23047167280787204,0.0,0.18856465846969048,0.1856903897160073
102,f12f91f7-81ca-4b7c-a5e8-3b81c4e5720b.csv,-1.8174113,0.5,0.00014911052827026872,0.9954954954954952,0.09681871318503912,0.7252747252747254,1.361694599740424e-06,9.497192437388228e-13,0.0,0.0,0.0,0.0
103,1e8c8712-0046-428d-864f-14d2357fb1d5.csv,-1.6041322,0.3,0.00573865570292853,0.9999999999999999,0.028600407444832353,0.5824175824175826,6.069172086662917e-07,3.9920225680581326e-14,0.0,0.0,0.0,0.0
104,e41dddd2-87dd-4d4b-bdb6-9859c34768f1.csv,-2.3225913,0.6,0.015327205431914681,0.9618018018018014,0.03778239205004905,0.2417582417582418,1.7562723359689745e-06,3.024332739402297e-13,0.6379441785608403,0.0,0.46169561729201264,0.0
105,d1f0f31d-17e2-484a-9b09-6b7cfc568102.csv,-1.8840253,0.1,0.01770567977488524,0.9978378378378377,0.10340184458413879,0.3296703296703296,2.812944373240584e-05,1.1508882498227214e-12,0.4743339968658676,0.0,0.0,0.0
106,dbffe40c-8549-4d27-9b68-a3f1b580f28c.csv,-1.8549687,0.7,0.026876499138208998,0.9594594594594591,0.09844678738337903,0.10989010989010994,6.246626052669915e-06,1.1280636475301288e-12,0.29514491832902745,0.0,0.1868668022463944,0.23740608278577172
107,d0d09ece-30bb-431f-b812-4e39bfb33198.csv,-1.1229973,0.2,0.017611196178711985,0.9708108108108106,0.0722181012491154,0.0,8.538377328123794e-06,2.1344615990289009e-13,0.0,0.0,0.0,0.10109327492676075
108,9094d2a3-390e-4e13-b576-5187befcf2a9.csv,-0.48691508,0.9,1.0000000000000004,0.0,0.05050755225297345,0.5384615384615383,2.78220525799474e-05,9.492810977833195e-13,0.7233351686360877,0.0,0.09427766479467134,0.28030534068960417
109,f45ff6bf-08c4-450d-bbf3-5597f66c68ba.csv,-0.9325478,0.9,1.0000000000000004,0.0,0.04745447120876241,0.5384615384615383,2.1283928668228437e-05,5.254651860226372e-13,0.43259497691753845,0.0,0.18783700580256357,0.926178528191337
110,e363b1f3-f503-48b4-b87c-98fe07632c02.csv,-1.3043646,0.1,0.01770567977488524,0.9978378378378377,-0.0018967869398388267,0.3296703296703296,4.516087448535054e-08,7.195524460071242e-17,0.0,0.0,0.0,0.0
111,6fffd62f-739b-4202-973d-df2d07470d87.csv,-0.27623832,0.9,1.0000000000000004,0.0,0.023775744593934552,0.5384615384615383,9.088770954390858e-06,3.685804228431867e-13,0.7259963576299182,0.0,0.18799559676847585,0.0
112,9bb98e59-e609-45db-a659-030dd644968f.csv,-1.8061292,0.5,0.00014911052827026872,0.9954954954954952,0.08553742796375505,0.7252747252747254,4.944137142686529e-07,5.762103799051917e-13,0.0,0.0,0.0,0.0
113,c0e7463c-8ed6-49b3-b4fd-a69449d8cee5.csv,-1.4568183,0.7,0.026876499138208998,0.9594594594594591,0.07189341207942126,0.10989010989010994,3.25938643787859e-05,2.7896791361252612e-11,0.0,0.0,0.16269567326529472,0.1850989307530936
