approach,tolerance,ratio,asr,preprocessing_time,encryption_time,attack_time,total_time
adaptive,0.05,0,0.9989,1.029ms,6.5065ms,35m31.7347982s,35m32.0494393s
adaptive,0.05,10,0.8960,0s,16.5698171s,32m23.0511531s,32m39.9308559s
adaptive,0.05,20,0.8000,998.8µs,32.3735438s,28m40.0458454s,29m12.7334923s
adaptive,0.05,30,0.6985,0s,45.9614734s,25m3.0587829s,25m49.3352824s
adaptive,0.05,40,0.5983,0s,59.3234669s,21m30.4326623s,22m30.0759966s
adaptive,0.05,50,0.4975,1.5476ms,1m11.6091015s,17m54.1850913s,19m6.1120302s
adaptive,0.05,60,0.4010,1.5066ms,1m22.5799702s,14m30.3496109s,15m53.2485072s
adaptive,0.05,70,0.2998,1.0056ms,1m35.3701835s,10m54.239368s,12m29.9282022s
adaptive,0.05,80,0.1975,1.0006ms,1m44.7793483s,7m11.3012518s,8m56.4018767s
adaptive,0.05,90,0.1034,1.0001ms,1m50.2132862s,3m36.1834644s,5m26.7236192s
