filename,section,date_range,section_sum_usage,encryption_ratio,section_raw_entropy,section_remaining_entropy,reidentification_mean,reidentification_standard_error,reidentification_attack_duration,avg_time_per_reidentification_attack_run,allocated_memory_MiB
MAC000017.csv,2,2012-03-01 to 2012-04-12,253.88,0.20,8.230357,5.144232,0.007513,0.000194,150.174340,0.150174,107.00
MAC000170.csv,9,2012-12-13 to 2013-01-25,583.47,0.30,9.095644,6.233550,0.004938,0.000193,148.197469,0.148197,123.00
MAC000034.csv,6,2012-08-19 to 2012-10-01,269.10,0.70,8.233372,1.114153,0.000000,0.000000,14.794535,0.014795,98.00
MAC000272.csv,8,2012-11-11 to 2012-12-24,521.15,0.80,8.797529,0.000000,0.000000,0.000000,14.854397,0.014854,93.00
MAC000167.csv,6,2012-08-06 to 2012-09-18,160.52,0.90,7.705936,0.000000,0.000000,0.000000,14.839457,0.014839,142.00
MAC000175.csv,4,2012-05-14 to 2012-06-25,318.83,0.90,8.062872,0.000000,0.000000,0.000000,14.839457,0.014839,142.00
MAC000155.csv,8,2012-10-30 to 2012-12-11,602.19,0.60,9.043839,2.266338,0.000000,0.000000,14.798131,0.014798,113.00
MAC000205.csv,8,2012-11-04 to 2012-12-17,559.70,0.60,8.844938,2.142913,0.000000,0.000000,14.798131,0.014798,113.00
MAC000253.csv,2,2012-02-26 to 2012-04-09,574.22,0.60,9.185153,2.410762,0.000000,0.000000,14.798131,0.014798,113.00
MAC000180.csv,7,2012-09-20 to 2012-11-01,493.56,0.70,8.317455,1.795433,0.000000,0.000000,14.794535,0.014795,98.00
MAC000214.csv,2,2012-02-23 to 2012-04-06,333.64,0.70,8.639218,1.784609,0.000000,0.000000,14.794535,0.014795,98.00
MAC000230.csv,5,2012-07-01 to 2012-08-13,422.41,0.70,8.410230,2.098621,0.000000,0.000000,14.794535,0.014795,98.00
MAC000258.csv,3,2012-04-11 to 2012-05-24,345.00,0.80,8.483354,0.036875,0.000000,0.000000,14.854397,0.014854,93.00
MAC000187.csv,3,2012-04-04 to 2012-05-17,384.00,0.90,8.647370,0.000000,0.000000,0.000000,14.839457,0.014839,142.00
MAC000069.csv,8,2012-11-14 to 2012-12-27,579.87,0.30,8.551198,5.271243,0.004938,0.000193,148.197469,0.148197,123.00
MAC000066.csv,0,2011-12-09 to 2012-01-21,402.11,0.60,7.309318,1.261695,0.000000,0.000000,14.798131,0.014798,113.00
MAC000218.csv,0,2011-11-30 to 2012-01-12,735.64,0.60,9.142387,2.556494,0.000000,0.000000,14.798131,0.014798,113.00
MAC000055.csv,9,2012-12-27 to 2013-02-08,635.05,0.70,8.836761,1.883617,0.000000,0.000000,14.794535,0.014795,98.00
