filename,section,date_range,section_sum_usage,encryption_ratio,section_raw_entropy,section_remaining_entropy,asr_mean,asr_standard_error,asr_attack_duration,avg_time_per_attack_run
1c5830aa-89f2-4b25-8953-4d644a34bfdc.csv,6,18/09/2015 to 31/10/2015,5840.00,0.10,2.325602,2.325602,0.009437,0.000170,22.614051,0.022614
78fd4de9-ba1a-4c8d-8b06-248a97f23867.csv,3,13/05/2015 to 25/06/2015,3866.00,0.10,2.439855,2.439855,0.009437,0.000170,22.614051,0.022614
4583f609-85f6-43b2-bba6-2606ac495279.csv,9,26/01/2016 to 08/03/2016,9390.00,0.20,3.461843,3.461843,0.009437,0.000170,21.754572,0.021755
8c06e577-095f-4628-8def-3e94a55f2e97.csv,4,25/06/2015 to 06/08/2015,7721.00,0.20,3.186185,3.186185,0.009437,0.000170,21.754572,0.021755
b62dd682-92d6-4d55-a406-dbab9268388f.csv,7,30/10/2015 to 12/12/2015,8682.00,0.30,3.318439,3.318439,0.009425,0.000170,23.054103,0.023054
c0e7463c-8ed6-49b3-b4fd-a69449d8cee5.csv,5,07/08/2015 to 18/09/2015,12804.00,0.50,3.283367,3.283367,0.009200,0.000174,23.343575,0.023344
99dbb947-1f56-4d7c-bdf1-3c756aed0f1e.csv,1,13/02/2015 to 27/03/2015,17091.00,0.60,4.952690,4.952690,0.009150,0.000175,23.235142,0.023235
1e8c8712-0046-428d-864f-14d2357fb1d5.csv,2,28/03/2015 to 14/05/2015,2078.00,0.70,1.879684,1.879684,0.009412,0.000171,21.438857,0.021439
13464844-b1ad-47e3-b2a9-b48426b2a986.csv,2,28/03/2015 to 14/05/2015,12993.00,0.60,3.983418,3.983418,0.009150,0.000175,23.235142,0.023235
2be3a38f-550e-4154-82d3-9b808d4b0bf6.csv,3,12/05/2015 to 25/06/2015,13166.00,0.70,4.054590,4.054590,0.009412,0.000171,21.438857,0.021439
77852396-f4a2-4d47-a864-8723417d9591.csv,4,21/03/2017 to 02/04/2017,153.00,0.70,0.624418,0.624418,0.009412,0.000171,21.438857,0.021439
85653d39-0e18-411e-abcd-689056140d21.csv,7,31/10/2015 to 14/12/2015,12666.00,0.80,4.297281,2.785843,0.008738,0.000181,24.874580,0.024875
78fd4de9-ba1a-4c8d-8b06-248a97f23867.csv,9,27/01/2016 to 10/03/2016,4321.00,0.90,2.199754,1.004451,0.006550,0.000198,32.411169,0.032411
e41dddd2-87dd-4d4b-bdb6-9859c34768f1.csv,8,12/12/2015 to 24/01/2016,3272.00,0.10,1.660916,1.660916,0.009437,0.000170,22.614051,0.022614
128c9821-8849-46d6-a7a7-5709ec799f94.csv,4,25/06/2015 to 07/08/2015,8693.00,0.20,2.192958,2.192958,0.009437,0.000170,21.754572,0.021755
5b3d1403-c791-4959-9fe0-430349fe8d1f.csv,7,31/10/2015 to 13/12/2015,8499.00,0.40,3.859905,3.859905,0.009575,0.000167,21.961779,0.021962
80d297a3-aa52-4df0-b22b-a4b3478a4eb8.csv,0,01/01/2015 to 13/02/2015,2390.00,0.60,0.122836,0.122836,0.009150,0.000175,23.235142,0.023235
1c5830aa-89f2-4b25-8953-4d644a34bfdc.csv,5,07/08/2015 to 18/09/2015,11782.00,0.70,4.101996,4.101996,0.009412,0.000171,21.438857,0.021439
13c202b0-14dc-42da-b5ca-21d132cc23fc.csv,2,28/03/2015 to 13/05/2015,15578.00,0.80,4.017537,2.824034,0.008738,0.000181,24.874580,0.024875
90e31bb3-97af-4ed9-b6a1-198615fade1d.csv,0,01/01/2015 to 12/02/2015,12063.00,0.90,4.636270,2.001970,0.006550,0.000198,32.411169,0.032411
cd2a63c5-e1ab-4000-a286-9628f856af4b.csv,7,31/10/2015 to 13/12/2015,11319.00,0.90,3.339396,1.732253,0.006550,0.000198,32.411169,0.032411
e158012f-5c69-4a20-9a41-f7acde0e0ddd.csv,7,31/10/2015 to 13/12/2015,21749.00,0.10,4.901491,4.901491,0.009437,0.000170,22.614051,0.022614
16bb182d-cb73-4cb8-9002-8b18177eaaa7.csv,0,01/01/2015 to 12/02/2015,485.00,0.20,0.098562,0.098562,0.009437,0.000170,21.754572,0.021755
d1f0f31d-17e2-484a-9b09-6b7cfc568102.csv,4,25/06/2015 to 06/08/2015,11076.00,0.20,3.610209,3.610209,0.009437,0.000170,21.754572,0.021755
e158012f-5c69-4a20-9a41-f7acde0e0ddd.csv,0,01/01/2015 to 13/02/2015,661.00,0.50,1.446050,1.446050,0.009200,0.000174,23.343575,0.023344
10595ac6-509a-49eb-8e4b-6c454977e095.csv,5,07/08/2015 to 19/09/2015,2131.00,0.60,1.899083,1.899083,0.009150,0.000175,23.235142,0.023235
9094d2a3-390e-4e13-b576-5187befcf2a9.csv,9,26/01/2016 to 10/03/2016,11465.00,0.60,4.443617,4.443617,0.009150,0.000175,23.235142,0.023235
9cbc1567-3633-4ec7-baa4-912a08e1cb88.csv,0,01/01/2015 to 13/02/2015,8423.00,0.60,3.014830,3.014830,0.009150,0.000175,23.235142,0.023235
d0af00c0-d13a-48ae-9347-98ad85eebbc2.csv,7,30/10/2015 to 12/12/2015,18803.00,0.60,4.890172,4.890172,0.009150,0.000175,23.235142,0.023235
d631238e-0e45-42ac-9627-0a9d1d62fad9.csv,6,19/09/2015 to 01/11/2015,6213.00,0.20,3.558428,3.558428,0.009437,0.000170,21.754572,0.021755
8c06e577-095f-4628-8def-3e94a55f2e97.csv,9,25/01/2016 to 08/03/2016,7050.00,0.30,2.865639,2.865639,0.009425,0.000170,23.054103,0.023054
9ea6de13-dd18-4319-8b26-c0c1db8b9449.csv,6,19/09/2015 to 01/11/2015,16457.00,0.30,4.586164,4.586164,0.009425,0.000170,23.054103,0.023054
8ecccc9e-ee7e-4942-a666-1af0c4a7c9cc.csv,0,01/01/2015 to 12/02/2015,10166.00,0.40,4.018695,4.018695,0.009575,0.000167,21.961779,0.021962
d631238e-0e45-42ac-9627-0a9d1d62fad9.csv,3,12/05/2015 to 25/06/2015,7087.00,0.40,3.610352,3.610352,0.009575,0.000167,21.961779,0.021962
9ea6de13-dd18-4319-8b26-c0c1db8b9449.csv,3,13/05/2015 to 25/06/2015,17848.00,0.50,4.929065,4.929065,0.009200,0.000174,23.343575,0.023344
16bb182d-cb73-4cb8-9002-8b18177eaaa7.csv,3,13/05/2015 to 25/06/2015,730.00,0.80,0.178048,0.145719,0.008738,0.000181,24.874580,0.024875
2be3a38f-550e-4154-82d3-9b808d4b0bf6.csv,0,01/01/2015 to 12/02/2015,13139.00,0.80,3.747869,2.480051,0.008738,0.000181,24.874580,0.024875
