filename,encryption_ratio,summation_error,deviation_error,encryption_time_ns,decryption_time_ns,summation_operations_time_ns,deviation_operations_time_ns
008cfa1c-5152-4b76-a837-b4b799f65dde.csv,0.10,53678.153846,-379.324501,1005300,0,1998200,1990600
09967234-a409-420a-bc5a-1474bb4790f3.csv,0.10,108524.769231,-545.926255,1002500,0,999500,2007300
0d060044-7b49-4fb7-9ad1-bc0f959d88e1.csv,0.10,222521.000000,-1560.955927,998300,0,2011400,998500
0f19a0e2-0ac9-4039-a80f-50db5d2de392.csv,0.10,30656.461538,-120.311842,0,0,1992500,1003300
10595ac6-509a-49eb-8e4b-6c454977e095.csv,0.10,25267.384615,-76.057486,1000000,0,3002000,2531100
128c9821-8849-46d6-a7a7-5709ec799f94.csv,0.10,49189.846154,-657.990644,3011200,0,3002900,2006100
13464844-b1ad-47e3-b2a9-b48426b2a986.csv,0.10,89528.000000,-495.834638,989400,0,996600,994700
13c202b0-14dc-42da-b5ca-21d132cc23fc.csv,0.10,106527.538462,-569.828391,1153400,0,1970700,2061000
16bb182d-cb73-4cb8-9002-8b18177eaaa7.csv,0.10,4490.307692,-143.193830,999400,0,1455800,2124800
1c02fc69-0a78-46cb-bf57-226f307fc10a.csv,0.10,112573.769231,-541.621066,0,0,1203600,991800
1c5830aa-89f2-4b25-8953-4d644a34bfdc.csv,0.10,30987.000000,0.000000,28068900,0,1356400,2125300
1e8c8712-0046-428d-864f-14d2357fb1d5.csv,0.10,10238.769231,-10.026866,10203200,0,2004200,1435700
1fe45385-e790-4855-a2fe-7284313ec322.csv,0.10,50465.615385,-346.836128,2019800,0,2001900,2022400
24564a57-959d-4214-8e07-94a14f121a91.csv,0.10,83297.000000,-781.121784,0,0,992700,1998600
2aa6ee4b-eadb-4d51-9737-8cf5de22210a.csv,0.10,59268.923077,-248.594757,2032500,0,3532800,1001400
2be3a38f-550e-4154-82d3-9b808d4b0bf6.csv,0.10,113377.153846,-854.015418,0,0,2743100,2508700
2c6c0f07-5a00-4a34-9bfd-30beee6d57c2.csv,0.10,79907.230769,-301.600547,2021400,0,3021500,1008800
2cf06c46-efd4-4c3c-8318-e504fc17ad08.csv,0.10,44523.000000,-270.112994,0,0,1996200,1047900
364b9911-6859-464e-a5e3-41149f8e2986.csv,0.10,110102.846154,-1196.067341,2020700,0,2998500,2603700
3fc0af02-ec0a-4572-9824-2b11c6990e4a.csv,0.10,4244654491.769231,-80.598225,0,0,4541200,996600
456cd5f9-5efa-40bd-8bbf-0f569692c390.csv,0.10,46096.538462,-137.167583,2019400,0,1002400,1997800
4583f609-85f6-43b2-bba6-2606ac495279.csv,0.10,101954.461538,-309.916620,1040200,0,3010300,1008700
4696b54d-8134-4c6b-b5ba-1a3fa77c1279.csv,0.10,37125.000000,-301.222045,0,0,1992800,2532100
47da96ed-3d5a-4b11-b273-77ce66a8b3d7.csv,0.10,40782.307692,-51.894883,0,0,2512200,1993700
58c609ee-7ae8-4fbe-8083-d917fa3e8246.csv,0.10,16523.076923,-63.534076,27047900,0,1320100,998700
5b3d1403-c791-4959-9fe0-430349fe8d1f.csv,0.10,67577.692308,-152.473736,1960700,0,4505900,1022000
60db3556-743a-4cc2-975a-4ff4c9ad1a55.csv,0.10,11974.384615,-167.218008,3003300,0,8368400,1999600
61c9167b-6dc3-47ca-9662-786dfdec3cd3.csv,0.10,178564.307692,-1745.312924,999200,0,573562100,2000500
693f9c40-4699-4ef5-b18a-3300cfd91572.csv,0.10,71505.538462,-236.724645,1165700,0,31613600,0
6cecc5e4-b87f-4501-a1d6-66a501a752b7.csv,0.10,27234.307692,-75.664330,1006400,0,2053200,2639000
6db8d3e1-753f-4672-ac33-c372da58bd44.csv,0.10,96369.153846,-536.741194,994600,0,2312600,2525300
6ff759fb-8e79-463c-a147-e1c104201b49.csv,0.10,35947.153846,-96.918729,0,0,992000,1010800
6fffd62f-739b-4202-973d-df2d07470d87.csv,0.10,38774.461538,-135.661923,1005000,0,2006600,1992100
70879f4e-5141-4cd6-8fc2-ba54fc7e58a5.csv,0.10,133534.769231,-916.304126,1001100,0,996800,1000700
77852396-f4a2-4d47-a864-8723417d9591.csv,0.10,2238.923077,-11.074291,1003500,0,2509200,1001700
78fd4de9-ba1a-4c8d-8b06-248a97f23867.csv,0.10,32679.615385,-97.895542,2001000,0,1016700,1516000
7c740711-9c8a-4b41-a262-c2200a3e8d52.csv,0.10,69408.307692,-131.661511,994800,0,1995500,2020500
80d297a3-aa52-4df0-b22b-a4b3478a4eb8.csv,0.10,27799.461538,-1279.833604,0,0,1001700,1986400
8190fe32-38c9-4b89-b97e-b865fde8131d.csv,0.10,9989.000000,0.000000,1008400,0,1003400,999800
82afe3ee-bf3a-469f-a2bf-f016de616453.csv,0.10,3685.000000,-0.132698,992900,0,2001700,1999800
85653d39-0e18-411e-abcd-689056140d21.csv,0.10,105590.923077,-301.127290,1010900,0,2997600,2002100
8b16208d-a25d-4554-abfe-6ab4363c7388.csv,0.10,61525.000000,-282.089687,0,0,997800,1617700
8c06e577-095f-4628-8def-3e94a55f2e97.csv,0.10,54007.538462,-300.864903,991400,0,3534100,1015500
8d2aa3f4-dab3-40e7-873c-af846d4e2a9c.csv,0.10,23664.692308,-338.858167,1007900,0,1001500,2006300
8ecccc9e-ee7e-4942-a666-1af0c4a7c9cc.csv,0.10,74077.846154,-324.465936,996700,0,2005300,2121000
9094d2a3-390e-4e13-b576-5187befcf2a9.csv,0.10,120335.615385,-272.129894,0,0,92527600,994900
90e31bb3-97af-4ed9-b6a1-198615fade1d.csv,0.10,95278.692308,-448.889112,998700,0,3202600,1994200
93303633-fdc8-4139-907e-7388d1b92ed5.csv,0.10,43550.000000,-271.598247,1001900,0,2009600,2711500
99dbb947-1f56-4d7c-bdf1-3c756aed0f1e.csv,0.10,157345.692308,-765.921492,994000,0,1988200,1203900
9bb98e59-e609-45db-a659-030dd644968f.csv,0.10,65907.384615,-256.325131,997700,0,119772500,999900
9cbc1567-3633-4ec7-baa4-912a08e1cb88.csv,0.10,61324.538462,-395.015532,0,0,7562400,1994700
9cc3d613-1218-4cfe-b8c8-0e2bbdbc979b.csv,0.10,21178.000000,-0.024414,1003600,0,1998400,1107300
9dae6241-7566-4dbd-b397-13a64fcc6e6c.csv,0.10,123110.461538,-295.152476,999300,0,3998900,1210600
9ea6de13-dd18-4319-8b26-c0c1db8b9449.csv,0.10,134407.846154,-482.125729,4001600,0,1999400,0
b62dd682-92d6-4d55-a406-dbab9268388f.csv,0.10,72673.846154,-311.830033,995000,0,10204400,1503200
b88ecde4-b4fc-4b25-80da-e5229a2f09e3.csv,0.10,2868.538462,-2.683372,1004700,0,121128500,2197000
c0e7463c-8ed6-49b3-b4fd-a69449d8cee5.csv,0.10,182521.692308,-29.837331,1002800,0,2997800,1099500
c5ad1069-7952-4bb6-8b54-5941b833ed76.csv,0.10,102051.000000,-213.960655,997300,0,111075700,1400600
c5c103dc-1812-474c-8d40-03e844585f5b.csv,0.10,108610.769231,-1058.329048,1994300,0,31074000,2026200
c7f6914b-107e-4a21-b72f-24b473c3e8ec.csv,0.10,83299.846154,-244.788657,0,0,3008900,1100500
c996d9cf-7826-4154-b141-e3e5e5a7b4aa.csv,0.10,3419.846154,-178353.844368,999400,0,2544300,1265200
cad98ba0-ebb5-4f15-bc8f-09a617dd4d05.csv,0.10,55446.538462,-36.156632,999800,0,2993700,1276100
cd2a63c5-e1ab-4000-a286-9628f856af4b.csv,0.10,74016.923077,-958.410496,1003000,0,2009100,2078900
d0af00c0-d13a-48ae-9347-98ad85eebbc2.csv,0.10,161593.538462,-460.730938,995700,0,2997300,1199100
d0d09ece-30bb-431f-b812-4e39bfb33198.csv,0.10,46586.692308,-102.563890,1001300,0,3513200,2258400
d1f0f31d-17e2-484a-9b09-6b7cfc568102.csv,0.10,119416.076923,-562.302686,992700,0,1998300,998000
d631238e-0e45-42ac-9627-0a9d1d62fad9.csv,0.10,55303.153846,-245.184284,0,0,2996100,1308800
d6b1a7de-ae5e-45e8-9a53-f58484c9fd2f.csv,0.10,173741.461538,-617.936813,1010100,0,3004700,1171500
dbffe40c-8549-4d27-9b68-a3f1b580f28c.csv,0.10,101472.307692,-190.124007,999700,0,1514800,1114100
e14e44b0-1b85-4343-a618-61e92984adfd.csv,0.10,66121.923077,-266.041719,999800,0,6023500,2479100
e158012f-5c69-4a20-9a41-f7acde0e0ddd.csv,0.10,94523.846154,-5.063851,1004700,0,1004000,1336100
e363b1f3-f503-48b4-b87c-98fe07632c02.csv,0.10,208.000000,-0.035156,998000,992900,1993600,2001700
e41dddd2-87dd-4d4b-bdb6-9859c34768f1.csv,0.10,40187.769231,-0.702556,51340200,0,18742000,998900
e76658cf-88ea-4123-8715-0248909dd88b.csv,0.10,85626.923077,-179.816131,652500,0,51926000,2000900
f12f91f7-81ca-4b7c-a5e8-3b81c4e5720b.csv,0.10,86538.923077,-489.925247,1998400,0,4725900,1996800
f45ff6bf-08c4-450d-bbf3-5597f66c68ba.csv,0.10,94872.307692,-195.440882,3002700,0,1996900,1000800
f5850315-552a-440f-9871-173212ad467f.csv,0.10,110984.923077,-429.186183,1999300,0,998200,1512500
f5a28746-11f7-423f-9ae0-204a9b6d50ac.csv,0.10,54098.000000,0.000000,2528600,0,2525800,2066000
faea8eb7-c134-4c8b-99ac-c2c7ddd60d8b.csv,0.10,35694.461538,-75.399056,1020000,0,1015900,998400
fc15a343-5276-4ce0-be8c-34087ae69070.csv,0.10,108997.000000,-255.433681,1006600,0,2009400,2411300
008cfa1c-5152-4b76-a837-b4b799f65dde.csv,0.20,45376.769231,-296.631631,1000600,0,1101600,1000000
09967234-a409-420a-bc5a-1474bb4790f3.csv,0.20,86070.307692,-430.063201,0,0,0,1752000
0d060044-7b49-4fb7-9ad1-bc0f959d88e1.csv,0.20,180925.307692,-1626.651059,1231800,0,1022100,0
0f19a0e2-0ac9-4039-a80f-50db5d2de392.csv,0.20,22799.230769,-121.371685,1000300,0,1012600,1683200
10595ac6-509a-49eb-8e4b-6c454977e095.csv,0.20,17899.538462,-88.298071,1528600,0,1191300,1025500
128c9821-8849-46d6-a7a7-5709ec799f94.csv,0.20,16800.846154,-1412.084584,0,0,0,1069100
13464844-b1ad-47e3-b2a9-b48426b2a986.csv,0.20,62665.538462,-541.033165,1031600,0,1043500,1108400
13c202b0-14dc-42da-b5ca-21d132cc23fc.csv,0.20,79870.000000,-619.756449,1000100,0,1000200,1012800
16bb182d-cb73-4cb8-9002-8b18177eaaa7.csv,0.20,3790.461538,-122.527723,1229200,0,1000200,999600
1c02fc69-0a78-46cb-bf57-226f307fc10a.csv,0.20,85996.230769,-714.129210,1000000,0,1000200,2000100
1c5830aa-89f2-4b25-8953-4d644a34bfdc.csv,0.20,30987.000000,0.000000,999800,0,0,0
1e8c8712-0046-428d-864f-14d2357fb1d5.csv,0.20,7536.384615,-10.964599,1000000,0,1186300,1794000
1fe45385-e790-4855-a2fe-7284313ec322.csv,0.20,43161.000000,-241.458963,1000300,0,1511400,1072100
24564a57-959d-4214-8e07-94a14f121a91.csv,0.20,55767.384615,-1654.870900,1175700,0,0,1163400
2aa6ee4b-eadb-4d51-9737-8cf5de22210a.csv,0.20,40352.153846,-243.243197,1043700,0,1024100,0
2be3a38f-550e-4154-82d3-9b808d4b0bf6.csv,0.20,87007.307692,-839.508332,0,0,1182400,1243300
2c6c0f07-5a00-4a34-9bfd-30beee6d57c2.csv,0.20,61022.461538,-307.753648,2134000,0,1047700,1152800
2cf06c46-efd4-4c3c-8318-e504fc17ad08.csv,0.20,34912.153846,-228.080004,1019000,0,494800,1000100
364b9911-6859-464e-a5e3-41149f8e2986.csv,0.20,66878.000000,-1355.420344,1003200,0,1106400,1000000
3fc0af02-ec0a-4572-9824-2b11c6990e4a.csv,0.20,4244650656.384615,-65.265537,1037600,0,1043900,1000300
456cd5f9-5efa-40bd-8bbf-0f569692c390.csv,0.20,35421.923077,-124.999442,997600,0,0,987100
4583f609-85f6-43b2-bba6-2606ac495279.csv,0.20,83152.923077,-296.890792,1000000,0,999900,2543400
4696b54d-8134-4c6b-b5ba-1a3fa77c1279.csv,0.20,9245.230769,-494.551567,999900,0,999900,995900
47da96ed-3d5a-4b11-b273-77ce66a8b3d7.csv,0.20,31938.538462,-48.969941,764800,0,1000000,1006500
58c609ee-7ae8-4fbe-8083-d917fa3e8246.csv,0.20,12895.384615,-54.421342,1161400,0,1912000,1569800
5b3d1403-c791-4959-9fe0-430349fe8d1f.csv,0.20,57713.923077,-125.980545,0,0,0,1072600
60db3556-743a-4cc2-975a-4ff4c9ad1a55.csv,0.20,11974.384615,-86.555697,1511100,0,1564000,998600
61c9167b-6dc3-47ca-9662-786dfdec3cd3.csv,0.20,138965.153846,-1328.770525,1024300,0,1024400,1000200
693f9c40-4699-4ef5-b18a-3300cfd91572.csv,0.20,62064.384615,-224.813087,1150100,0,0,999700
6cecc5e4-b87f-4501-a1d6-66a501a752b7.csv,0.20,19240.615385,-74.853976,1035000,0,1014300,1505200
6db8d3e1-753f-4672-ac33-c372da58bd44.csv,0.20,71273.538462,-516.445679,429900,0,997100,551700
