household_id,Encryption Ratio_mean,Encryption Ratio_std,Reidentification Rate_mean,Reidentification Rate_std,Advanced Reidentification Rate_mean,Advanced Reidentification Rate_std,Memory Consumption (MiB)_mean,Memory Consumption (MiB)_std,Summation Error_mean,Summation Error_std,Deviation Error_mean,Deviation Error_std,Encryption Time (NS)_mean,Encryption Time (NS)_std,Decryption Time (NS)_mean,Decryption Time (NS)_std,Summation Operations Time (NS)_mean,Summation Operations Time (NS)_std,Deviation Operations Time (NS)_mean,Deviation Operations Time (NS)_std
e158012f-5c69-4a20-9a41-f7acde0e0ddd.csv,0.1,0.0,0.04619999999999995,0.004289522117905403,0.00030000000000000003,0.0004830458915396479,7.8,4.391911757866827,17958.776923100002,2858.7585195858674,273.06759739999995,1.8422208831660034e-05,4894850.0,3179159.4805510743,100020.0,316291.0115700413,655850.0,1751048.258266396,1045840.0,1534245.9445024524
e363b1f3-f503-48b4-b87c-98fe07632c02.csv,0.1,0.0,0.04619999999999995,0.004289522117905403,0.00030000000000000003,0.0004830458915396479,7.8,4.391911757866827,13.1,9.70051545022222,2.741505,0.0,5374180.0,3548422.160716882,0.0,0.0,325300.0,537982.6845623277,2701270.0,2962050.845107153
e41dddd2-87dd-4d4b-bdb6-9859c34768f1.csv,0.1,0.0,0.04619999999999995,0.004289522117905403,0.00030000000000000003,0.0004830458915396479,7.8,4.391911757866827,3513.3615385,680.9197698498266,83.4073606,2.2247097187967718e-05,6001020.0,4106527.9085865226,0.0,0.0,1135040.0,3004598.593711535,1295330.0,1930400.1370182296
e76658cf-88ea-4123-8715-0248909dd88b.csv,0.1,0.0,0.04619999999999995,0.004289522117905403,0.00030000000000000003,0.0004830458915396479,7.8,4.391911757866827,10623.076923,2777.1552534609077,172.3538084,2.200101007278729e-05,7054530.0,2969227.3903604397,0.0,0.0,407720.0,783982.4938521693,2725430.0,4014591.780008412
f12f91f7-81ca-4b7c-a5e8-3b81c4e5720b.csv,0.1,0.0,0.04619999999999995,0.004289522117905403,0.00030000000000000003,0.0004830458915396479,7.8,4.391911757866827,13157.1307691,2582.6018525113636,188.4768211,2.2712942952627844e-05,4198120.0,2428819.459829084,0.0,0.0,0.0,0.0,1327050.0,2120071.250506035
f45ff6bf-08c4-450d-bbf3-5597f66c68ba.csv,0.1,0.0,0.04619999999999995,0.004289522117905403,0.00030000000000000003,0.0004830458915396479,7.8,4.391911757866827,8503.4461538,2569.5280183935147,153.7277016,2.1297887218843775e-05,6134640.0,2722204.404603821,203790.0,644440.564365714,828870.0,2291193.035201433,3825640.0,4028544.081151127
f5850315-552a-440f-9871-173212ad467f.csv,0.1,0.0,0.04619999999999995,0.004289522117905403,0.00030000000000000003,0.0004830458915396479,7.8,4.391911757866827,11815.7307692,2524.6429072110886,182.6859423,1.7688979627134502e-05,5751100.0,4245877.65878073,0.0,0.0,1387260.0,1952886.5354762536,1132430.0,1588150.9507390454
f5a28746-11f7-423f-9ae0-204a9b6d50ac.csv,0.1,0.0,0.04619999999999995,0.004289522117905403,0.00030000000000000003,0.0004830458915396479,7.8,4.391911757866827,8564.9538462,2014.7438711418945,127.59442220000001,1.3489090238886627e-05,5750840.0,4060351.4788199747,1365240.0,3058574.3680494167,1974640.0,3255030.0081224716,3994430.0,4140129.39036934
faea8eb7-c134-4c8b-99ac-c2c7ddd60d8b.csv,0.1,0.0,0.04619999999999995,0.004289522117905403,0.00030000000000000003,0.0004830458915396479,7.8,4.391911757866827,2816.7307692000004,1396.3708277426656,71.6746353,2.2754975036975932e-05,5860370.0,3700084.827270856,0.0,0.0,146480.0,463210.43166146416,1853050.0,1927425.140353489
fc15a343-5276-4ce0-be8c-34087ae69070.csv,0.1,0.0,0.04619999999999995,0.004289522117905403,0.00030000000000000003,0.0004830458915396479,7.8,4.391911757866827,12034.9692308,2766.9090710092764,197.4602264,2.17316972794156e-05,4356750.0,3435522.1101667276,0.0,0.0,1099620.0,2336716.8376924824,609020.0,1002110.6734177507
