round=0, currententropyreduction=0.3235, record=2097, original=0.000528, encryptionratio=0.1000, entropyreductionratio=0.0016, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2098, original=0.000685, encryptionratio=0.1000, entropyreductionratio=0.0021, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2099, original=0.000420, encryptionratio=0.1000, entropyreductionratio=0.0013, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2100, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2101, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2102, original=0.000673, encryptionratio=0.1000, entropyreductionratio=0.0021, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2103, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2104, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2105, original=0.000624, encryptionratio=0.1000, entropyreductionratio=0.0019, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2106, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2107, original=0.000621, encryptionratio=0.1000, entropyreductionratio=0.0019, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2108, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2109, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2110, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2111, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2112, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2113, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2114, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2115, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2116, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2117, original=0.001106, encryptionratio=0.1000, entropyreductionratio=0.0034, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2118, original=0.000672, encryptionratio=0.1000, entropyreductionratio=0.0021, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2119, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
