approach,tolerance,ratio,asr,preprocessing_time,encryption_time,attack_time,total_time
adaptive,0.05,0,0.1870,20.5214ms,6.7538ms,40.1776905s,40.537607s
adaptive,0.05,10,0.1720,19.5468ms,16.1944663s,37.0838484s,53.6046904s
adaptive,0.05,20,0.1360,17.6442ms,32.0576551s,29.109039s,1m1.4913058s
adaptive,0.05,30,0.1280,19.0171ms,46.7219786s,27.4742243s,1m14.526928s
adaptive,0.05,40,0.1060,19.8976ms,55.7933322s,21.3157956s,1m17.4409287s
adaptive,0.05,50,0.1090,18.6052ms,1m10.7648052s,23.3027916s,1m34.3810742s
adaptive,0.05,60,0.0850,20.0689ms,1m23.2145521s,17.6208278s,1m41.1692906s
adaptive,0.05,70,0.0610,18.5107ms,1m27.2846698s,12.4665854s,1m40.0715716s
adaptive,0.05,80,0.0340,20.074ms,1m37.0287605s,6.8818565s,1m44.2290265s
adaptive,0.05,90,0.0230,18.3097ms,1m46.1252597s,4.676563s,1m51.1200578s
