approach,tolerance,ratio,asr,preprocessing_time,encryption_time,attack_time,total_time
adaptive,0.05,0,0.004,16.1248ms,14.0118ms,820.0422ms,1.15739s
adaptive,0.05,10,0.003,15.5890ms,14.4612923s,615.7495ms,15.3934244s
adaptive,0.05,20,0.002,15.0531ms,28.9085728s,411.4567ms,29.6294587s
adaptive,0.05,30,0.001,17.0372ms,42.8116891s,205.7284ms,43.3303313s
adaptive,0.05,40,0.0,19.0212ms,56.7148054s,0s,57.0312038s
adaptive,0.05,50,0.0005,18.0224ms,1m9.5037347s,114.0653ms,1m9.9382662s
adaptive,0.05,60,0.001,17.0236ms,1m22.292664s,228.1307ms,1m22.8453287s
adaptive,0.05,70,0.0005,17.8341ms,1m35.7187947s,114.0653ms,1m36.1688637s
adaptive,0.05,80,0.0,18.6446ms,1m49.1449254s,0s,1m49.4923986s
adaptive,0.05,90,0.0,21.0656ms,1m59.9129580s,0s,2m0.3081621s
