approach,tolerance,ratio,asr,preprocessing_time,encryption_time,attack_time,total_time
adaptive,0.05,0,0.0320,41.0998ms,6.5028ms,6.9241882s,7.3005574s
adaptive,0.05,10,0.0250,38.7089ms,16.0372282s,5.2772022s,21.6606876s
adaptive,0.05,20,0.0220,39.8515ms,31.1136763s,4.6770263s,36.1370938s
adaptive,0.05,30,0.0150,38.5861ms,44.4080973s,3.134758s,47.8858202s
adaptive,0.05,40,0.0150,38.8781ms,57.1677849s,3.1454308s,1m0.6583631s
adaptive,0.05,50,0.0100,40.0339ms,1m9.3142552s,2.1935202s,1m11.852401s
adaptive,0.05,60,0.0080,38.6761ms,1m21.8663254s,1.7164863s,1m23.9287275s
adaptive,0.05,70,0.0110,42.1135ms,1m31.1461744s,2.3296778s,1m33.8235152s
adaptive,0.05,80,0.0030,39.7544ms,1m41.8482977s,641.2838ms,1m42.856694s
adaptive,0.05,90,0.0020,44.034ms,1m51.5064236s,444.0416ms,1m52.3045802s
