approach,tolerance,ratio,asr,preprocessing_time,encryption_time,attack_time,total_time
adaptive,0.05,0,0.0,30.3695ms,13.949ms,0s,362.396ms
adaptive,0.05,10,0.0,30.1425ms,16.2742698s,500.7µs,16.6277075s
adaptive,0.05,20,0.0,30.9156ms,32.5345905s,1.0014ms,32.8940191s
adaptive,0.05,30,0.0,30.4661ms,46.2803798s,500.7µs,46.6319469s
adaptive,0.05,40,0.0,30.0166ms,1m0.026169s,0s,1m0.3698748s
adaptive,0.05,50,0.0,31.6133ms,1m10.1760563s,0s,1m10.5223051s
adaptive,0.05,60,0.0,32.21ms,1m20.3259437s,0s,1m20.6747355s
adaptive,0.05,70,0.0,31.1376ms,1m31.1797569s,499.8µs,1m31.5240321s
adaptive,0.05,80,0.0,30.0651ms,1m42.0335701s,999.5µs,1m42.3733286s
adaptive,0.05,90,0.0,30.7975ms,1m51.5804826s,998.8µs,1m51.9221493s
