approach,tolerance,ratio,asr,time
adaptive,0.01,0,0.4620,49.0127399s
adaptive,0.01,10,0.3740,58.1660858s
adaptive,0.01,20,0.2780,1m6.434593s
adaptive,0.01,30,0.2040,1m15.0211561s
adaptive,0.01,40,0.1560,1m25.4807346s
adaptive,0.01,50,0.1480,1m40.1161916s
adaptive,0.01,60,0.0920,1m47.7510438s
adaptive,0.01,70,0.0460,1m55.6081819s
adaptive,0.01,80,0.0600,2m10.357087s
adaptive,0.01,90,0.0240,2m18.8959196s
adaptive,0.02,0,0.2380,25.705022s
adaptive,0.02,10,0.1840,38.4755246s
adaptive,0.02,20,0.0980,47.8303155s
adaptive,0.02,30,0.0700,1m1.9297063s
adaptive,0.02,40,0.0420,1m13.9839253s
adaptive,0.02,50,0.0180,1m26.9524367s
adaptive,0.02,60,0.0120,1m39.3087283s
adaptive,0.02,70,0.0100,1m52.6313211s
adaptive,0.02,80,0.0080,2m3.7233382s
adaptive,0.02,90,0.0040,2m17.5865333s
adaptive,0.03,0,0.1260,13.7160912s
adaptive,0.03,10,0.0720,26.82449s
adaptive,0.03,20,0.0280,40.5689272s
adaptive,0.03,30,0.0160,55.0360057s
adaptive,0.03,40,0.0080,1m10.4732043s
adaptive,0.03,50,0.0080,1m24.4287255s
adaptive,0.03,60,0.0000,1m38.7952373s
adaptive,0.03,70,0.0020,1m51.9074649s
adaptive,0.03,80,0.0000,2m4.4126905s
adaptive,0.03,90,0.0000,2m16.9515013s
adaptive,0.04,0,0.0700,7.6343691s
adaptive,0.04,10,0.0240,22.9275266s
adaptive,0.04,20,0.0140,38.566423s
adaptive,0.04,30,0.0060,54.6384859s
adaptive,0.04,40,0.0000,1m10.1295626s
adaptive,0.04,50,0.0000,1m24.0854779s
adaptive,0.04,60,0.0000,1m38.8876651s
adaptive,0.04,70,0.0000,1m51.5661816s
adaptive,0.04,80,0.0020,2m5.7435579s
adaptive,0.04,90,0.0000,2m17.3757312s
adaptive,0.05,0,0.0400,4.9774256s
adaptive,0.05,10,0.0120,20.2372911s
adaptive,0.05,20,0.0060,38.2730806s
adaptive,0.05,30,0.0040,55.466599s
adaptive,0.05,40,0.0000,1m9.3592203s
adaptive,0.05,50,0.0020,1m24.4308108s
adaptive,0.05,60,0.0000,1m39.5510314s
adaptive,0.05,70,0.0000,1m51.0637472s
adaptive,0.05,80,0.0000,2m4.2429762s
adaptive,0.05,90,0.0000,2m17.2147596s
adaptive,0.06,0,0.0280,3.5692069s
adaptive,0.06,10,0.0080,20.5195625s
adaptive,0.06,20,0.0040,37.5215685s
adaptive,0.06,30,0.0020,54.3529531s
adaptive,0.06,40,0.0000,1m10.082034s
adaptive,0.06,50,0.0020,1m24.3551178s
adaptive,0.06,60,0.0000,1m37.4717265s
adaptive,0.06,70,0.0000,1m51.267697s
adaptive,0.06,80,0.0000,2m4.8272999s
adaptive,0.06,90,0.0000,2m17.7055842s
adaptive,0.07,0,0.0060,967.7126ms
adaptive,0.07,10,0.0000,19.6455149s
adaptive,0.07,20,0.0000,37.9220246s
adaptive,0.07,30,0.0000,52.9070843s
adaptive,0.07,40,0.0000,1m9.589832s
adaptive,0.07,50,0.0000,1m24.0270081s
adaptive,0.07,60,0.0020,1m37.9099325s
adaptive,0.07,70,0.0000,1m51.2783407s
adaptive,0.07,80,0.0000,2m5.2476786s
adaptive,0.07,90,0.0000,2m16.9396514s
adaptive,0.08,0,0.0060,949.9647ms
adaptive,0.08,10,0.0040,19.4620399s
adaptive,0.08,20,0.0020,38.6873885s
adaptive,0.08,30,0.0000,53.7877498s
adaptive,0.08,40,0.0000,1m12.752094s
adaptive,0.08,50,0.0000,1m23.6225732s
adaptive,0.08,60,0.0000,1m38.4716211s
adaptive,0.08,70,0.0000,1m52.3517575s
adaptive,0.08,80,0.0000,2m4.1302063s
adaptive,0.08,90,0.0000,2m16.7806646s
adaptive,0.09,0,0.0060,948.2515ms
adaptive,0.09,10,0.0000,19.8624686s
adaptive,0.09,20,0.0000,37.0032292s
adaptive,0.09,30,0.0000,54.5300078s
adaptive,0.09,40,0.0000,1m8.9688328s
adaptive,0.09,50,0.0000,1m25.0314254s
adaptive,0.09,60,0.0000,1m37.5717507s
adaptive,0.09,70,0.0000,1m52.0062883s
adaptive,0.09,80,0.0000,2m4.7012105s
adaptive,0.09,90,0.0000,2m17.7477449s
adaptive,0.10,0,0.0020,541.9283ms
adaptive,0.10,10,0.0000,19.7383956s
adaptive,0.10,20,0.0000,37.4939969s
adaptive,0.10,30,0.0000,53.2616461s
adaptive,0.10,40,0.0000,1m9.8543965s
adaptive,0.10,50,0.0000,1m24.3322288s
adaptive,0.10,60,0.0000,1m38.5027485s
adaptive,0.10,70,0.0000,1m51.4489143s
adaptive,0.10,80,0.0000,2m5.229896s
adaptive,0.10,90,0.0000,2m13.3677373s
