approach,tolerance,ratio,asr,preprocessing_time,encryption_time,attack_time,total_time
adaptive,0.05,0,0.7870,4.5011ms,8.5026ms,2m40.121961s,2m40.4595596s
adaptive,0.05,10,0.6860,4.5113ms,15.2572519s,2m18.5361877s,2m34.0965364s
adaptive,0.05,20,0.6350,5.0007ms,32.1237443s,2m12.9274534s,2m45.3613778s
adaptive,0.05,30,0.5370,5.5178ms,45.5273023s,1m56.444695s,2m42.2930794s
adaptive,0.05,40,0.4400,5.5145ms,1m2.2025262s,1m34.6183097s,2m37.1665186s
adaptive,0.05,50,0.3700,4.9995ms,1m10.6005451s,1m17.9542852s,2m28.8986636s
adaptive,0.05,60,0.3150,3.9992ms,1m17.6379266s,1m3.6657256s,2m21.618638s
adaptive,0.05,70,0.2330,4.5043ms,1m27.2641178s,50.6525872s,2m18.2212355s
adaptive,0.05,80,0.1480,4.6569ms,1m43.3775026s,32.5543342s,2m16.2481334s
adaptive,0.05,90,0.0780,5.0014ms,1m53.804796s,16.7220346s,2m10.8507426s
