approach,tolerance,ratio,asr,preprocessing_time,encryption_time,attack_time,total_time
adaptive,0.05,0,0.0,36.0512ms,15.5047ms,1.0004ms,370.2778ms
adaptive,0.05,10,0.0,36.3410ms,15.9332091s,1.2747ms,16.2859439s
adaptive,0.05,20,0.0,36.6308ms,31.8509136s,1.5491ms,32.2016099s
adaptive,0.05,30,0.0,36.2156ms,44.7728254s,1.2750ms,45.1201187s
adaptive,0.05,40,0.0,35.8003ms,57.6947373s,1.001ms,58.0386275s
adaptive,0.05,50,0.0,36.4472ms,1m8.8899835s,500.5µs,1m9.2667861s
adaptive,0.05,60,0.0,37.0941ms,1m20.0852297s,0s,1m20.4949447s
adaptive,0.05,70,0.0,38.8143ms,1m31.5695914s,0s,1m31.9497243s
adaptive,0.05,80,0.0,40.5346ms,1m43.0539531s,0s,1m43.404504s
adaptive,0.05,90,0.0,36.8101ms,1m52.7041197s,500.4µs,1m53.0518158s
