approach,tolerance,ratio,asr,preprocessing_time,encryption_time,attack_time,total_time
adaptive,0.05,0,0.5810,9.5087ms,10.0014ms,2m4.4681711s,2m4.8091918s
adaptive,0.05,10,0.5160,8.3971ms,16.2745041s,1m50.7115337s,2m7.3440463s
adaptive,0.05,20,0.4770,8.727ms,31.7671511s,1m42.4202817s,2m14.5071972s
adaptive,0.05,30,0.3960,7.7074ms,45.5988252s,1m25.4731943s,2m11.3924876s
adaptive,0.05,40,0.3490,7.7529ms,58.7583647s,1m14.845392s,2m13.9252265s
adaptive,0.05,50,0.2680,8.5103ms,1m10.8535044s,57.4950386s,2m8.6695219s
adaptive,0.05,60,0.2320,8.51ms,1m21.8523561s,50.3678039s,2m12.5409365s
adaptive,0.05,70,0.1700,7.5079ms,1m33.5192874s,36.3682522s,2m10.2050617s
adaptive,0.05,80,0.1220,8.0012ms,1m43.9791525s,26.4336974s,2m10.7291611s
adaptive,0.05,90,0.0600,7.7227ms,1m56.3244047s,13.0789162s,2m9.7216583s
