approach,tolerance,ratio,asr,preprocessing_time,encryption_time,attack_time,total_time
adaptive,0.05,0,0.0610,34.5355ms,7.0052ms,13.1398547s,13.553263s
adaptive,0.05,10,0.0550,32.4364ms,15.9015745s,11.4206199s,27.6592912s
adaptive,0.05,20,0.0440,29.509ms,30.4682887s,9.2496262s,40.0598422s
adaptive,0.05,30,0.0340,31.1069ms,44.0899528s,7.1692038s,51.593921s
adaptive,0.05,40,0.0290,29.486ms,56.7902055s,6.0434407s,1m3.1661318s
adaptive,0.05,50,0.0210,30.4223ms,1m8.9438902s,4.37139s,1m13.6472406s
adaptive,0.05,60,0.0190,31.573ms,1m20.0106132s,3.9918541s,1m24.3396303s
adaptive,0.05,70,0.0130,30.2026ms,1m30.5863808s,2.7589664s,1m33.6805236s
adaptive,0.05,80,0.0090,31.5739ms,1m41.351411s,1.9018638s,1m43.5915549s
adaptive,0.05,90,0.0050,30.3953ms,1m51.5754186s,1.0450611s,1m52.9530686s
