,Average Encryption Ratio,Standard Deviation Encryption Ratio,Average Reidentification Rate,Standard Deviation Reidentification Rate,Average Memory Consumption,Standard Deviation Memory Consumption,Average Summation Error,Standard Deviation Summation Error,Average Deviation Error,Standard Deviation Deviation Error,Average Encryption Time,Standard Deviation Encryption Time
MAC000248.csv,0.43,0.28303906287138375,0.3779892505857927,0.4507657233656968,115.2,19.22267179949528,548.1410616,2882.5486437660848,-0.363425,0.06863398080316258,3350280,3703082.372474765
MAC000252.csv,0.45,0.2718251071716682,0.32950080253826053,0.4312771554657715,118.1,21.501679520963524,854.787954,5200.267058563737,-1.3005217,0.22477692960753085,2076010,3556976.8785210475
MAC000253.csv,0.43,0.28303906287138375,0.3779892505857927,0.4507657233656968,115.2,19.22267179949528,625.2762306999999,2795.262102312098,-0.1486653,0.01455013809823734,1878410,2871721.502068828
MAC000255.csv,0.55,0.2877112750272012,0.22275789473684213,0.41574316064520983,112.7,13.736002976767942,-613.4866617000001,4173.7900015159485,-0.261951,0.02803159980371358,3561030,3422784.3795658527
MAC000256.csv,0.45,0.2718251071716682,0.32950080253826053,0.4312771554657715,118.1,21.501679520963524,1174.7175537,5908.6489350359625,-0.3069075,0.028239696690415542,2909380,3757200.3219891745
MAC000258.csv,0.39,0.2998147576235848,0.47798925058579267,0.4681795874662976,114.3,19.697997642174474,753.7762615,2119.7187254789683,-0.1729834,0.008177879746948813,716470,1346913.0220619296
MAC000271.csv,0.39,0.2998147576235848,0.47798925058579267,0.4681795874662976,114.3,19.697997642174474,567.5461691,2182.665777607161,-0.135206,0.015672802011411007,1887690,2725878.2888171007
MAC000272.csv,0.43,0.28303906287138375,0.3779892505857927,0.4507657233656968,115.2,19.22267179949528,665.282969,2135.700465226819,-0.17148370000000002,0.017561386815966445,1936270,2592582.4937266274
MAC000274.csv,0.45,0.2718251071716682,0.32950080253826053,0.4312771554657715,118.1,21.501679520963524,1507.8790153000002,6956.9802199316355,-0.6034814,0.10337039573430425,3938730,4422162.508459207
MAC004539.csv,0.39,0.2998147576235848,0.47798925058579267,0.4681795874662976,114.3,19.697997642174474,651.1952308,1324.4470917986735,-0.0369046,0.0077196962404258145,2452380,3457835.886729669
