approach,tolerance,ratio,asr,preprocessing_time,encryption_time,attack_time,total_time
adaptive,0.05,0,0.0,22.2395ms,16.409ms,0s,377.4206ms
adaptive,0.05,10,0.0,23.7809ms,16.8961424s,501.0µs,17.2607604s
adaptive,0.05,20,0.0,25.3222ms,33.7758759s,1.0021ms,34.1441001s
adaptive,0.05,30,0.0,22.4258ms,48.7307598s,501.0µs,49.0886632s
adaptive,0.05,40,0.0,19.5294ms,1m3.6856436s,0s,1m4.0332263s
adaptive,0.05,50,0.0,19.2742ms,1m14.7291116s,499.9µs,1m15.0710815s
adaptive,0.05,60,0.0,19.019ms,1m25.7725797s,999.9µs,1m26.1089367s
adaptive,0.05,70,0.0,19.0204ms,1m33.5815558s,499.9µs,1m33.9169059s
adaptive,0.05,80,0.0,19.0218ms,1m41.3905319s,0s,1m41.7248751s
adaptive,0.05,90,0.0,23.7789ms,1m51.9015667s,0s,1m52.2897449s
