,Average Encryption Ratio,Standard Deviation Encryption Ratio,Average Reidentification Rate,Standard Deviation Reidentification Rate,Average Memory Consumption,Standard Deviation Memory Consumption,Average Summation Error,Standard Deviation Summation Error,Average Deviation Error,Standard Deviation Deviation Error,Average Encryption Time,Standard Deviation Encryption Time
MAC000248.csv,0.37,0.2057506581601462,0.42515853529450304,0.33212937793718866,121.7,17.739159443947106,1015.8864463,2143.69987528112,-0.368089,0.06202293065023971,1399170,2886239.8533770926
MAC000252.csv,0.37,0.2110818693198342,0.4250839829272508,0.2847643558974799,128.1,20.11329024412576,1472.7247693,3988.3094512290004,-1.451104,0.21014836400822476,1918190,3505195.387310417
MAC000253.csv,0.41000000000000003,0.20789954839350236,0.34999546966058537,0.33507381991965896,121.5,17.84656829757475,881.0950616,1898.7509899981305,-0.1495057,0.012937711424359412,854800,2222894.8813053067
MAC000255.csv,0.4,0.25819888974716115,0.42515853529450304,0.33212937793718866,123.0,18.233059108236457,1645.9919692,3745.027005947621,-0.2668789,0.02456122812008118,1673670,3534077.5342214676
MAC000256.csv,0.37,0.2110818693198342,0.4250839829272508,0.2847643558974799,128.1,20.11329024412576,2351.2083692,4649.349427440311,-0.29797609999999997,0.019591849384941226,2693280,4405458.103257317
MAC000258.csv,0.32,0.10327955589886446,0.45532018460215296,0.2515948336841852,113.4,18.410142132350128,960.6215076,1032.0242822366306,-0.17691279999999998,0.0032335039748785793,1592660,3512225.8833964537
MAC000271.csv,0.34,0.1349897115421106,0.42808669735059707,0.28599064880148706,116.4,16.919416853623137,1038.3564463,1185.4695452486587,-0.1341436,0.007767021296624736,1916040,3826390.461634684
MAC000272.csv,0.39,0.19692073983655906,0.3771357061057546,0.313897418880828,121.4,17.908408949739535,989.8661691000001,1498.7438673418721,-0.1744272,0.013553140339665442,960330,2576392.318318173
MAC000274.csv,0.37,0.2110818693198342,0.4250839829272508,0.2847643558974799,128.1,20.11329024412576,2624.6303538,5484.625964398791,-0.5461861,0.07391963296783881,2354530,3970270.645420648
MAC004539.csv,0.37,0.18287822299126938,0.4071886866346476,0.2920848160402496,107.1,15.351076690433006,576.2206613,820.843891893007,-0.0350986,0.004846331469380846,1768290,3487259.254757078
