approach,tolerance,ratio,asr,preprocessing_time,encryption_time,attack_time,total_time
adaptive,0.05,0,0.0,49.1395ms,13.5484ms,0s,375.3337ms
adaptive,0.05,10,0.0,47.1760ms,15.2770921s,0s,15.6287803s
adaptive,0.05,20,0.0,45.2126ms,30.5406359s,0s,30.8822269s
adaptive,0.05,30,0.0,49.2104ms,43.8347742s,0s,44.1856444s
adaptive,0.05,40,0.0,53.2082ms,57.1289125s,0s,57.489062s
adaptive,0.05,50,0.0,51.5367ms,1m8.4448605s,0s,1m8.8062806s
adaptive,0.05,60,0.0,49.8653ms,1m19.7608085s,0s,1m20.1234992s
adaptive,0.05,70,0.0,51.2333ms,1m31.5283756s,0s,1m31.8921377s
adaptive,0.05,80,0.0,52.6013ms,1m43.2959427s,0s,1m43.6607762s
adaptive,0.05,90,0.0,54.9697ms,1m54.1149356s,0s,1m54.4834707s
