approach,tolerance,ratio,asr,time
adaptive,0.00,60,0.4040,2m28.3753078s
adaptive,0.00,70,0.3010,2m15.4808215s
adaptive,0.00,80,0.2120,2m19.1132354s
adaptive,0.00,90,0.1030,2m24.3766862s
adaptive,0.10,0,1.0000,1m44.2637912s
adaptive,0.10,10,0.9140,1m52.897546s
adaptive,0.10,20,0.8040,1m59.4765563s
adaptive,0.10,30,0.7280,2m6.0799405s
adaptive,0.10,40,0.5920,2m5.2111491s
adaptive,0.10,50,0.5050,2m9.7057115s
adaptive,0.10,60,0.4430,2m15.1287196s
adaptive,0.10,70,0.3200,2m15.830147s
adaptive,0.10,80,0.1940,2m20.9568731s
adaptive,0.10,90,0.1080,2m22.8908371s
adaptive,0.20,0,1.0000,1m44.6962618s
adaptive,0.20,10,0.8990,1m52.4343045s
adaptive,0.20,20,0.7850,1m57.5706892s
adaptive,0.20,30,0.7150,2m5.825181s
adaptive,0.20,40,0.6000,2m8.8857658s
adaptive,0.20,50,0.4700,2m9.9666144s
adaptive,0.20,60,0.4170,2m16.8122876s
adaptive,0.20,70,0.3240,2m17.444947s
adaptive,0.20,80,0.2180,2m18.7119852s
adaptive,0.20,90,0.0830,2m16.6926375s
adaptive,0.30,0,1.0000,1m44.3734095s
adaptive,0.30,10,0.8940,1m56.3830135s
adaptive,0.30,20,0.7870,1m59.3595347s
adaptive,0.30,30,0.7100,2m3.8987328s
adaptive,0.30,40,0.6190,2m9.0307148s
adaptive,0.30,50,0.5090,2m14.5516806s
adaptive,0.30,60,0.3780,2m10.2479178s
adaptive,0.30,70,0.3110,2m14.544231s
adaptive,0.30,80,0.1950,2m18.3052961s
adaptive,0.30,90,0.0980,2m19.1153557s
adaptive,0.40,0,1.0000,1m43.598477s
adaptive,0.40,10,0.9020,1m50.7773039s
adaptive,0.40,20,0.8010,1m56.6853887s
adaptive,0.40,30,0.7110,2m2.8816892s
adaptive,0.40,40,0.5670,2m2.7599708s
adaptive,0.40,50,0.4880,2m9.6518402s
adaptive,0.40,60,0.4050,2m14.253565s
adaptive,0.40,70,0.3140,2m33.4706293s
adaptive,0.40,80,0.1870,2m36.1527264s
adaptive,0.40,90,0.1010,2m38.3369815s
adaptive,0.50,0,1.0000,1m53.8221848s
adaptive,0.50,10,0.9010,2m1.945385s
adaptive,0.50,20,0.7980,2m12.3095952s
adaptive,0.50,30,0.6920,2m25.3270364s
adaptive,0.50,40,0.6050,2m26.7198806s
adaptive,0.50,50,0.4860,2m25.4817089s
adaptive,0.50,60,0.4130,2m34.8048536s
adaptive,0.50,70,0.3050,2m34.3462481s
adaptive,0.50,80,0.2070,2m35.3220942s
adaptive,0.50,90,0.0860,2m34.3706174s
adaptive,0.60,0,1.0000,1m54.6681629s
adaptive,0.60,10,0.8870,2m3.2724278s
adaptive,0.60,20,0.8010,2m13.4394753s
adaptive,0.60,30,0.7040,2m21.6584818s
adaptive,0.60,40,0.5770,2m23.7227821s
adaptive,0.60,50,0.5280,2m33.601625s
adaptive,0.60,60,0.4230,2m38.5216137s
adaptive,0.60,70,0.3140,2m35.6439s
adaptive,0.60,80,0.2240,2m42.3108195s
adaptive,0.60,90,0.1080,2m37.5440125s
adaptive,0.70,0,1.0000,1m57.8139152s
adaptive,0.70,10,0.9220,2m2.4099034s
adaptive,0.70,20,0.8100,2m9.4427142s
adaptive,0.70,30,0.6990,2m12.3714769s
adaptive,0.70,40,0.5950,2m21.1980652s
adaptive,0.70,50,0.5060,2m20.753595s
adaptive,0.70,60,0.4420,2m28.3992674s
adaptive,0.70,70,0.2820,2m27.5389748s
adaptive,0.70,80,0.1840,2m24.2510104s
adaptive,0.70,90,0.0990,2m27.7556514s
adaptive,0.80,0,1.0000,1m51.8004888s
adaptive,0.80,10,0.8830,1m57.7592053s
adaptive,0.80,20,0.7850,2m9.4873025s
adaptive,0.80,30,0.7050,2m16.5301165s
adaptive,0.80,40,0.5840,2m17.2137463s
adaptive,0.80,50,0.5280,2m23.1207295s
adaptive,0.80,60,0.3790,2m25.0845102s
adaptive,0.80,70,0.2930,2m31.6736618s
adaptive,0.80,80,0.1930,2m25.0248301s
adaptive,0.80,90,0.1080,2m29.5460305s
adaptive,0.90,0,1.0000,1m51.8784684s
adaptive,0.90,10,0.8880,1m59.453489s
adaptive,0.90,20,0.8080,2m7.0525542s
adaptive,0.90,30,0.6830,2m10.3207641s
adaptive,0.90,40,0.5920,2m14.9874904s
adaptive,0.90,50,0.4990,2m20.7232472s
adaptive,0.90,60,0.4230,2m24.4787768s
adaptive,0.90,70,0.3130,2m26.7978482s
adaptive,0.90,80,0.2090,2m27.1594451s
adaptive,0.90,90,0.0850,2m26.9059811s
