approach,tolerance,ratio,asr,preprocessing_time,encryption_time,attack_time,total_time
adaptive,0.05,0,0.4070,11.0128ms,6.5057ms,1m27.0361019s,1m27.3845136s
adaptive,0.05,10,0.3480,10.5068ms,16.6991956s,1m14.8960852s,1m31.9103577s
adaptive,0.05,20,0.3280,10.5109ms,31.5688693s,1m10.4231711s,1m42.3124355s
adaptive,0.05,30,0.2860,10.8752ms,47.1778147s,1m1.4776009s,1m48.9768144s
adaptive,0.05,40,0.2200,11.5099ms,58.6952274s,47.5506017s,1m46.5694518s
adaptive,0.05,50,0.2080,10.0838ms,1m10.8923992s,44.7860027s,1m56.0018029s
adaptive,0.05,60,0.1670,10.0158ms,1m23.513419s,36.1969142s,2m0.03568s
adaptive,0.05,70,0.1290,10.517ms,1m33.8561326s,28.0472824s,2m2.2250891s
adaptive,0.05,80,0.0820,11.0211ms,1m43.6665025s,17.6408958s,2m1.6312201s
adaptive,0.05,90,0.0380,10.5084ms,1m54.5469859s,8.2481952s,2m3.1210605s
