approach,tolerance,ratio,asr,preprocessing_time,encryption_time,attack_time,total_time
adaptive,0.05,0,0.7674,5.0016ms,6.5125ms,28m22.0412695s,28m22.3662266s
adaptive,0.05,10,0.6894,5.0065ms,16.1249688s,25m16.7360524s,25m33.1733903s
adaptive,0.05,20,0.6028,4.5068ms,35.6468664s,21m56.9032002s,22m32.8790105s
adaptive,0.05,30,0.5393,3.504ms,46.508352s,19m0.9617367s,19m47.8390043s
adaptive,0.05,40,0.4566,4.9992ms,1m1.3968008s,17m59.647728s,19m1.3858663s
adaptive,0.05,50,0.3771,4.0008ms,1m13.0815763s,13m22.2781656s,14m35.6831201s
adaptive,0.05,60,0.3101,4.5009ms,1m19.2421836s,10m41.5930301s,12m1.1419047s
adaptive,0.05,70,0.2322,3.999ms,1m28.8828179s,8m24.2126728s,9m53.4004115s
adaptive,0.05,80,0.1574,4.9992ms,1m48.7399605s,5m39.9213778s,7m28.9958979s
adaptive,0.05,90,0.0804,3.9997ms,2m5.4616203s,2m59.3619428s,5m5.1442199s
