approach,tolerance,ratio,asr,preprocessing_time,encryption_time,attack_time,total_time
adaptive,0.05,0,0.1190,23.02ms,6.6181ms,24.7841478s,25.1365844s
adaptive,0.05,10,0.0990,21.5813ms,16.6059094s,20.7130947s,37.6465556s
adaptive,0.05,20,0.0900,25.129ms,30.6708711s,18.7787285s,49.7865409s
adaptive,0.05,30,0.0770,21.5291ms,44.833906s,16.1901193s,1m1.3470966s
adaptive,0.05,40,0.0500,22.3155ms,57.2970028s,10.5298884s,1m8.1595032s
adaptive,0.05,50,0.0580,22.5707ms,1m8.4842376s,12.2313663s,1m21.0581104s
adaptive,0.05,60,0.0420,21.7144ms,1m19.6935104s,8.7969408s,1m28.817716s
adaptive,0.05,70,0.0290,23.0791ms,1m31.8578161s,6.099903s,1m38.3027219s
adaptive,0.05,80,0.0160,23.0683ms,1m40.1593546s,3.3555269s,1m43.8688482s
adaptive,0.05,90,0.0140,23.0424ms,1m52.4728199s,2.9512135s,1m55.7534823s
