approach,tolerance,ratio,asr,preprocessing_time,encryption_time,attack_time,total_time
adaptive,0.05,0,0.009,15.5086ms,19.3549ms,1.9908023s,2.3385742s
adaptive,0.05,10,0.0085,13.8096ms,15.9371720s,1.7956821s,18.0525050s
adaptive,0.05,20,0.008,14.1106ms,31.8549891s,1.6005619s,33.7664358s
adaptive,0.05,30,0.0055,12.3107ms,43.1414681s,1.0974865s,44.5470127s
adaptive,0.05,40,0.003,13.5107ms,54.427947s,594.4111ms,55.3275897s
adaptive,0.05,50,0.0065,14.7805ms,1m6.5784828s,1.3256688s,1m8.2093754s
adaptive,0.05,60,0.01,14.0503ms,1m18.7290186s,2.0569264s,1m21.0911612s
adaptive,0.05,70,0.0055,15.5357ms,1m29.7234212s,1.1336339s,1m31.1678695s
adaptive,0.05,80,0.001,13.0211ms,1m40.7178238s,210.3414ms,1m41.2445777s
adaptive,0.05,90,0.0005,15.9923ms,1m49.2668817s,105.1707ms,1m49.6852724s
