approach,tolerance,ratio,asr,preprocessing_time,encryption_time,attack_time,total_time
adaptive,0.05,0,0.0,45.0489ms,16.5562ms,1ms,387.7427ms
adaptive,0.05,10,0.0,43.2956ms,15.3525850s,1.0006ms,15.7191576s
adaptive,0.05,20,0.0,41.5423ms,30.6886137s,1.0011ms,31.0505726s
adaptive,0.05,30,0.0,43.0387ms,44.2310297s,1.0016ms,44.5923951s
adaptive,0.05,40,0.0,44.5351ms,57.7734457s,1.0022ms,58.1342175s
adaptive,0.05,50,0.0,46.0624ms,1m9.4554386s,501.1µs,1m9.8154504s
adaptive,0.05,60,0.0,47.5897ms,1m21.1374315s,0s,1m21.4966832s
adaptive,0.05,70,0.0,44.0011ms,1m31.1436241s,0s,1m31.4975518s
adaptive,0.05,80,0.0,40.4125ms,1m41.1498168s,0s,1m41.4984204s
adaptive,0.05,90,0.0,45.2165ms,1m51.3278716s,0s,1m51.6834886s
