approach,tolerance,ratio,asr,time
adaptive,0.30,0,1.0000,2m2.2558136s
adaptive,0.30,10,0.8950,2m12.7464278s
adaptive,0.30,20,0.8060,2m22.8810984s
adaptive,0.30,30,0.6860,2m27.879697s
adaptive,0.30,40,0.6030,2m35.3770009s
adaptive,0.30,50,0.4730,2m38.4022462s
adaptive,0.30,60,0.3950,2m44.7025424s
adaptive,0.30,70,0.2650,2m46.0510752s
adaptive,0.30,80,0.1990,2m53.6234894s
adaptive,0.30,90,0.1000,2m56.7766308s
