approach,tolerance,ratio,asr,time
adaptive,0.05,0,0.4420,1m30.488771s
adaptive,0.05,10,0.3890,1m37.9380838s
adaptive,0.05,20,0.3400,1m45.2126052s
adaptive,0.05,30,0.2900,1m50.8310518s
adaptive,0.05,40,0.2390,1m57.6111599s
adaptive,0.05,50,0.2290,2m9.2454039s
adaptive,0.05,60,0.1560,2m7.704174s
adaptive,0.05,70,0.1300,2m15.0084116s
adaptive,0.05,80,0.0790,2m15.9499656s
adaptive,0.05,90,0.0390,2m20.6538055s
