approach,tolerance,ratio,asr,preprocessing_time,encryption_time,attack_time,total_time
adaptive,0.05,0,0.0080,51.6082ms,9.0302ms,1.7110111s,2.1046789s
adaptive,0.05,10,0.0060,47.9403ms,15.9724498s,1.2504042s,17.5776232s
adaptive,0.05,20,0.0050,47.1305ms,30.8157878s,1.0379554s,32.2042072s
adaptive,0.05,30,0.0000,49.3044ms,44.6955962s,0s,45.0464404s
adaptive,0.05,40,0.0030,45.5453ms,57.7963971s,627.6949ms,58.7751402s
adaptive,0.05,50,0.0040,46.3533ms,1m9.5713262s,845.471ms,1m10.7776188s
adaptive,0.05,60,0.0020,49.6644ms,1m21.334896s,438.0351ms,1m22.1280763s
adaptive,0.05,70,0.0010,47.7728ms,1m31.013999s,215.297ms,1m31.5928795s
adaptive,0.05,80,0.0000,44.4827ms,1m42.0719432s,0s,1m42.4314012s
adaptive,0.05,90,0.0000,46.0565ms,1m51.0902586s,0s,1m51.4413s
