approach,tolerance,ratio,asr,time
sliding,0.05,0,0.0690,15.712532s
sliding,0.05,10,0.0760,38.5265487s
sliding,0.05,20,0.0640,54.8953251s
sliding,0.05,30,0.0570,1m10.5505738s
sliding,0.05,40,0.0390,1m23.120594s
sliding,0.05,50,0.0510,1m42.5427623s
sliding,0.05,60,0.0370,1m54.1397598s
sliding,0.05,70,0.0240,2m5.6196739s
sliding,0.05,80,0.0130,2m17.368177s
sliding,0.05,90,0.0080,2m30.7204803s
