household_id,Encryption Ratio_mean,Encryption Ratio_std,Reidentification Rate_mean,Reidentification Rate_std,Advanced Reidentification Rate_mean,Advanced Reidentification Rate_std,Memory Consumption (MiB)_mean,Memory Consumption (MiB)_std,Summation Error_mean,Summation Error_std,Deviation Error_mean,Deviation Error_std,Encryption Time (NS)_mean,Encryption Time (NS)_std,Decryption Time (NS)_mean,Decryption Time (NS)_std,Summation Operations Time (NS)_mean,Summation Operations Time (NS)_std,Deviation Operations Time (NS)_mean,Deviation Operations Time (NS)_std
MAC000248.csv,0.4600000000000001,0.0,0.0001,0.00031622776601683794,0.0015,0.0013540064007726601,6.0,0.9428090415820632,3874.0342853,545.0636223849922,5.7895588,2.047654484727552e-05,5281360.0,4347500.382774246,0.0,0.0,790810.0,1950352.7478381956,1669350.0,3312359.385778595
MAC000252.csv,0.5,0.0,0.0001,0.00031622776601683794,0.0015,0.0013540064007726601,6.0,0.9428090415820632,6385.0702245,460.6346735191821,8.4965793,1.7632356620449523e-05,5017450.0,2529928.976715003,0.0,0.0,888440.0,1760231.512677302,2821940.0,4189012.962288637
MAC000253.csv,0.45,0.0,0.0001,0.00031622776601683794,0.0015,0.0013540064007726601,6.0,0.9428090415820632,6097.028938400001,375.62009697723363,3.6476953,1.980488155325266e-05,3791490.0,3792636.8275178215,0.0,0.0,2215120.0,3757151.954694761,1359810.0,2943308.075939195
MAC000255.csv,0.5,0.0,0.0001,0.00031622776601683794,0.0015,0.0013540064007726601,6.0,0.9428090415820632,2494.8083008,524.4351844698112,4.947787,2.4499433100124957e-05,5990920.0,5051394.002055274,0.0,0.0,162520.0,362616.607452003,334340.0,706393.9272420484
MAC000256.csv,0.5,0.0,0.0001,0.00031622776601683794,0.0015,0.0013540064007726601,6.0,0.9428090415820632,4429.3569616,375.7761833195586,4.6952772,1.4627219679567057e-05,5510950.0,3544497.3306834665,104140.0,329319.5955299351,51380.0,162477.82617945134,5749620.0,4756177.887010629
MAC000258.csv,0.4,0.0,0.0001,0.00031622776601683794,0.0015,0.0013540064007726601,6.0,0.9428090415820632,5031.8457767,396.8967982820003,4.0031998,6.7131711335669045e-06,5886190.0,3632171.787252237,52990.0,167569.09321232242,109160.0,345194.2293839803,705030.0,1100069.779655414
MAC000271.csv,0.4,0.0,0.0001,0.00031622776601683794,0.0015,0.0013540064007726601,6.0,0.9428090415820632,4730.6903922,12.50513050358519,3.2921710000000006,0.0,6932920.0,4177795.5204469576,0.0,0.0,395580.0,932634.8836614585,1091830.0,2090638.9921903461
MAC000272.csv,0.41000000000000003,0.0,0.0001,0.00031622776601683794,0.0015,0.0013540064007726601,6.0,0.9428090415820632,1626.2168691000002,520.6765458176033,3.9299444,2.3665258174038837e-05,3722710.0,3087439.489087645,0.0,0.0,2036890.0,3425533.6763293785,2083050.0,3427668.319637191
MAC000274.csv,0.49000000000000005,0.0,0.0001,0.00031622776601683794,0.0015,0.0013540064007726601,6.0,0.9428090415820632,8627.8422754,394.22733145964264,6.0631734,1.9213421234940535e-05,7466810.0,4344087.7422205815,0.0,0.0,1363270.0,3133954.1211454333,1278940.0,2229848.859950428
MAC004539.csv,0.34,0.0,0.0001,0.00031622776601683794,0.0015,0.0013540064007726601,6.0,0.9428090415820632,981.6814924,332.31023088872536,1.6677191,2.1178867874566036e-05,5726720.0,4586563.7228757655,0.0,0.0,930540.0,2226403.202077787,1643400.0,3187248.200076186
