approach,tolerance,ratio,asr,preprocessing_time,encryption_time,attack_time,total_time
adaptive,0.05,0,0.9990,0s,8.5082ms,3m18.4341949s,3m18.7619304s
adaptive,0.05,10,0.8880,1.0012ms,15.23456s,3m8.3026182s,3m23.8344262s
adaptive,0.05,20,0.8230,0s,31.1461523s,2m55.9668051s,3m27.4240459s
adaptive,0.05,30,0.6980,1.0016ms,46.5031566s,2m33.9495012s,3m20.764143s
adaptive,0.05,40,0.5900,1.5463ms,59.1103078s,2m6.0568988s,3m5.5062237s
adaptive,0.05,50,0.5010,1.5656ms,1m11.9929895s,1m54.5257815s,3m6.8276153s
adaptive,0.05,60,0.4090,996.7µs,1m25.1393092s,1m27.9833168s,2m53.4684136s
adaptive,0.05,70,0.3020,2.0633ms,1m35.0934495s,1m7.4318916s,2m42.840128s
adaptive,0.05,80,0.2040,1.0009ms,1m48.1237566s,42.7945225s,2m31.2434656s
adaptive,0.05,90,0.1080,1.0002ms,1m49.7354312s,24.2167645s,2m14.2669221s
