,Average Encryption Ratio,Standard Deviation Encryption Ratio,Average Reidentification Rate,Standard Deviation Reidentification Rate,Average Memory Consumption,Standard Deviation Memory Consumption,Average Summation Error,Standard Deviation Summation Error,Average Deviation Error,Standard Deviation Deviation Error,Average Encryption Time,Standard Deviation Encryption Time
e158012f-5c69-4a20-9a41-f7acde0e0ddd.csv,0.4,0.2538591035287969,0.39875709074610066,0.4133701245515418,170.5,24.721785264552935,73827.3923077,46204.25449707689,-74.9865929,147.93460585282082,5167680,5112434.972104779
e363b1f3-f503-48b4-b87c-98fe07632c02.csv,0.41,0.264365067451978,0.3991696762387582,0.4131991437094554,171.1,24.36048713251304,137.3538461,80.86126807607424,-0.8558325999999999,0.7369207499066187,1351190,1813495.2068986685
e41dddd2-87dd-4d4b-bdb6-9859c34768f1.csv,0.4,0.2538591035287969,0.39875709074610066,0.4133701245515418,170.5,24.721785264552935,20676.1,26999.558697048586,-59.4544691,64.89573569029432,2238150,3625650.501097853
e76658cf-88ea-4123-8715-0248909dd88b.csv,0.4,0.2538591035287969,0.39875709074610066,0.4133701245515418,170.5,24.721785264552935,21380.6461538,53821.273277334,-282.6466717,74.11320365129032,1589130,2356953.0095018866
f12f91f7-81ca-4b7c-a5e8-3b81c4e5720b.csv,0.4,0.2538591035287969,0.39875709074610066,0.4133701245515418,170.5,24.721785264552935,24175.7,53959.784026403104,-479.597924,41.95058890610676,2170580,3281228.445364124
f45ff6bf-08c4-450d-bbf3-5597f66c68ba.csv,0.4,0.2538591035287969,0.39875709074610066,0.4133701245515418,170.5,24.721785264552935,28579.1307691,58427.3952310509,-228.0886767,24.100754995298555,1487920,2690002.436925786
f5850315-552a-440f-9871-173212ad467f.csv,0.4,0.2538591035287969,0.39875709074610066,0.4133701245515418,170.5,24.721785264552935,20358.630769299998,73781.17501306662,-643.1854875,167.9483529833763,1431370,2035292.794142624
f5a28746-11f7-423f-9ae0-204a9b6d50ac.csv,0.4,0.2538591035287969,0.39875709074610066,0.4133701245515418,170.5,24.721785264552935,11734.2769232,40483.15126278991,-232.0564287,163.45403271062938,2408890,2835484.2131851525
faea8eb7-c134-4c8b-99ac-c2c7ddd60d8b.csv,0.4,0.2538591035287969,0.39875709074610066,0.4133701245515418,170.5,24.721785264552935,8982.653846100002,21196.251637040557,-89.8735265,14.557571443581509,1769480,3382030.290225089
