approach,tolerance,ratio,asr,time
sliding,0.30,0,1.0000,1m56.0308969s
sliding,0.30,10,0.9000,2m6.0736881s
sliding,0.30,20,0.8150,2m16.4067758s
sliding,0.30,30,0.7040,2m22.6494021s
sliding,0.30,40,0.5980,2m28.5617216s
sliding,0.30,50,0.4690,2m30.1347637s
sliding,0.30,60,0.4040,2m38.9323272s
sliding,0.30,70,0.3270,2m27.6357881s
sliding,0.30,80,0.2100,2m23.0890731s
sliding,0.30,90,0.0860,2m44.1377975s
