approach,tolerance,ratio,asr,preprocessing_time,encryption_time,attack_time,total_time
adaptive,0.05,0,0.2970,17.0177ms,4.9982ms,1m3.5925971s,1m3.9383402s
adaptive,0.05,10,0.2820,16.5086ms,16.8010344s,1m0.6996974s,1m17.8263438s
adaptive,0.05,20,0.2400,15.4743ms,31.2167567s,51.4882279s,1m23.0333323s
adaptive,0.05,30,0.1960,16.54ms,46.0198778s,42.5567637s,1m28.9070372s
adaptive,0.05,40,0.1820,15.5512ms,58.6707469s,39.1347871s,1m38.1306359s
adaptive,0.05,50,0.1430,15.198ms,1m10.9990907s,30.9569373s,1m42.282637s
adaptive,0.05,60,0.1010,17.0609ms,1m22.2204053s,22.0056107s,1m44.5534942s
adaptive,0.05,70,0.0840,15.4655ms,1m33.7134839s,18.2140972s,1m52.2591974s
adaptive,0.05,80,0.0570,16.9319ms,1m44.0158307s,12.2129279s,1m56.5556919s
adaptive,0.05,90,0.0360,15.775ms,1m54.3376972s,7.9303633s,2m2.5944214s
