household_id,Encryption Ratio_mean,Encryption Ratio_std,Reidentification Rate_mean,Reidentification Rate_std,Advanced Reidentification Rate_mean,Advanced Reidentification Rate_std,Memory Consumption (MiB)_mean,Memory Consumption (MiB)_std,Summation Error_mean,Summation Error_std,Deviation Error_mean,Deviation Error_std,Encryption Time (NS)_mean,Encryption Time (NS)_std,Decryption Time (NS)_mean,Decryption Time (NS)_std,Summation Operations Time (NS)_mean,Summation Operations Time (NS)_std,Deviation Operations Time (NS)_mean,Deviation Operations Time (NS)_std
MAC000248.csv,0.7,0.0,0.0,0.0,0.0,0.0,8.7,2.5841396591085743,3973.0317856,487.211954783426,5.789562,1.6445195178052813e-05,5725930.0,1049885.3556989501,0.0,0.0,784460.0,862180.0265734658,1867060.0,661353.3400871613
MAC000252.csv,0.7,0.0,0.0,0.0,0.0,0.0,8.7,2.5841396591085743,7029.6963701,833.4210436996925,8.496575,2.0325134959089683e-05,5557200.0,892753.4598084735,0.0,0.0,1295100.0,701782.7441594728,1879540.0,549326.5497153967
MAC000253.csv,0.7,0.0,0.0,0.0,0.0,0.0,8.7,2.5841396591085743,4863.6006844,557.8916675928351,3.6476819999999996,1.773884626098263e-05,5459130.0,850620.8243264315,0.0,0.0,965800.0,757116.5300005013,1977840.0,704261.7114554944
MAC000255.csv,0.7,0.0,0.0,0.0,0.0,0.0,8.7,2.5841396591085743,7337.0878314,2423.8900849062215,4.9477786,1.308264329405588e-05,6019760.0,1084362.7705810552,104270.0,329730.6916257569,578090.0,765442.6627049794,1922830.0,468685.01635486016
MAC000256.csv,0.7,0.0,0.0,0.0,0.0,0.0,8.7,2.5841396591085743,7699.311007599999,4406.0804894637595,4.6952858,1.653817133516622e-05,5827440.0,1046088.4519644282,0.0,0.0,834890.0,891230.8971928157,2232160.0,802881.192539303
MAC000258.csv,0.7,0.0,0.0,0.0,0.0,0.0,8.7,2.5841396591085743,5705.1988532000005,448.66952512669013,4.0031749,2.606594201895554e-05,5535730.0,622547.1406514797,0.0,0.0,1199120.0,667304.5328450538,1922410.0,542840.3805703642
MAC000271.csv,0.7,0.0,0.0,0.0,0.0,0.0,8.7,2.5841396591085743,3226.6706769,403.0849044933317,3.2921388,4.1311822360745676e-06,5513450.0,951667.666374256,152440.0,482057.6065160677,788610.0,832392.7350983095,1787850.0,514806.9114834329
MAC000272.csv,0.7,0.0,0.0,0.0,0.0,0.0,8.7,2.5841396591085743,595.0965921,163.72603842430985,3.9299596,1.8542443804034592e-05,5721760.0,1542179.102006854,0.0,0.0,623170.0,839889.6780067142,2156300.0,812290.4584499863
MAC000274.csv,0.7,0.0,0.0,0.0,0.0,0.0,8.7,2.5841396591085743,8543.7591367,534.3366661527785,6.0631925,1.126696252078409e-05,5772330.0,1144017.8301349445,158170.0,500177.45750883257,965980.0,831449.7389767132,1555690.0,172848.18933259198
MAC004539.csv,0.7,0.0,0.0,0.0,0.0,0.0,8.7,2.5841396591085743,3048.1910846,380.21253668561104,1.6677171000000002,2.270315690240398e-05,5633150.0,872184.7322799352,50670.0,160232.60904073177,848380.0,911773.6022597813,2224460.0,877860.2548874798
