household_id,Encryption Ratio_mean,Encryption Ratio_std,Reidentification Rate_mean,Reidentification Rate_std,Advanced Reidentification Rate_mean,Advanced Reidentification Rate_std,Memory Consumption (MiB)_mean,Memory Consumption (MiB)_std,Summation Error_mean,Summation Error_std,Deviation Error_mean,Deviation Error_std,Encryption Time (NS)_mean,Encryption Time (NS)_std,Decryption Time (NS)_mean,Decryption Time (NS)_std,Summation Operations Time (NS)_mean,Summation Operations Time (NS)_std,Deviation Operations Time (NS)_mean,Deviation Operations Time (NS)_std
MAC000248.csv,0.5,0.0,0.0,0.0,0.0001,0.00031622776601683794,10.1,1.8529256146249726,3971.5895852999993,521.2893415602578,5.7895671,2.433310502170774e-05,5609870.0,827719.3808558818,156420.0,494643.4716035379,980620.0,843313.2524618463,2041500.0,642392.6352144596
MAC000252.csv,0.5,0.0,0.0,0.0,0.0001,0.00031622776601683794,10.1,1.8529256146249726,6632.0219156,379.3881500149237,8.496585999999999,2.4617067250111995e-05,5781750.0,786775.1171713554,156330.0,494358.86661412276,556680.0,792513.7822846434,2241210.0,755177.6059679971
MAC000253.csv,0.5,0.0,0.0,0.0,0.0001,0.00031622776601683794,10.1,1.8529256146249726,3430.0919999999996,17.60497304109788,3.6476820000000005,0.0,5782900.0,1163555.7113148184,0.0,0.0,889750.0,811971.7636716194,1745040.0,493723.50156742596
MAC000255.csv,0.5,0.0,0.0,0.0,0.0001,0.00031622776601683794,10.1,1.8529256146249726,2813.3800241,376.12702920065595,4.9477929000000005,1.9935730067246147e-05,5533200.0,952238.1611527421,162610.0,514217.9703199801,1042670.0,734507.8897541612,2553960.0,1058780.5188570062
MAC000256.csv,0.5,0.0,0.0,0.0,0.0001,0.00031622776601683794,10.1,1.8529256146249726,4598.1908235,550.9572778769134,4.6952885,2.242642290791926e-05,5633670.0,911797.1132147034,319450.0,673689.8515720058,474620.0,764439.9326740241,1740260.0,491726.6634580187
MAC000258.csv,0.5,0.0,0.0,0.0,0.0001,0.00031622776601683794,10.1,1.8529256146249726,3588.4062688,513.5431649503007,4.003187,9.603240193939016e-06,6121130.0,721784.2830252141,156730.0,495623.7776781901,948080.0,845277.1613829132,2110180.0,793752.5752189195
MAC000271.csv,0.5,0.0,0.0,0.0,0.0001,0.00031622776601683794,10.1,1.8529256146249726,1412.0975461,644.0248659137826,3.2921581000000004,2.491072950429303e-05,5801060.0,659595.4251576407,0.0,0.0,844420.0,792503.2208837457,1932090.0,473101.1788660481
MAC000272.csv,0.5,0.0,0.0,0.0,0.0001,0.00031622776601683794,10.1,1.8529256146249726,746.9832461,251.39375463625703,3.9299758,1.5346371268481892e-05,5600840.0,581801.0545806111,0.0,0.0,837310.0,751854.2788037823,1925180.0,648174.9160356158
MAC000274.csv,0.5,0.0,0.0,0.0,0.0001,0.00031622776601683794,10.1,1.8529256146249726,7555.7161446,359.507457809888,6.0631849,1.9621133731251537e-05,5570230.0,726619.764617873,152680.0,482816.5531545082,1132300.0,791829.1847221709,2147730.0,1042845.2490395901
MAC004539.csv,0.5,0.0,0.0,0.0,0.0001,0.00031622776601683794,10.1,1.8529256146249726,1609.3020768000001,405.5161957095892,1.6677526,3.098386677044356e-06,5510140.0,672219.5907753821,0.0,0.0,1046510.0,740793.86464042,1508270.0,167426.1631618879
