,Average Encryption Ratio,Standard Deviation Encryption Ratio,Average Reidentification Rate,Standard Deviation Reidentification Rate,Average Memory Consumption,Standard Deviation Memory Consumption,Average Summation Error,Standard Deviation Summation Error,Average Deviation Error,Standard Deviation Deviation Error,Average Encryption Time,Standard Deviation Encryption Time
MAC000248.csv,0.37,0.2496664441476534,0.44686579112632946,0.45018360491387344,115.6,13.639811012050147,1058.859754,2601.3879286006654,-0.3559761,0.06758160079727488,2629170,3468543.8930319
MAC000252.csv,0.46,0.29514591494904874,0.37217820320897194,0.4400693664283781,121.0,15.698549119088822,908.8951386,5128.1662331079515,-1.3047649,0.2913178291066877,1423150,1855586.2573142035
MAC000253.csv,0.37,0.2496664441476534,0.44686579112632946,0.45018360491387344,115.6,13.639811012050147,1223.0346616,2318.3317054205486,-0.1501649,0.01428818579145411,253600,801953.614618701
MAC000255.csv,0.46,0.29514591494904874,0.37217820320897194,0.4400693664283781,121.0,15.698549119088822,629.8038922999999,4222.733131757793,-0.2697872,0.029952817870778026,3573550,4255034.067039495
MAC000256.csv,0.46,0.29514591494904874,0.37217820320897194,0.4400693664283781,121.0,15.698549119088822,1178.4108769,6071.012178730299,-0.2925968,0.019099453074193865,1561290,2583716.6762673925
MAC000258.csv,0.36,0.2503331114069145,0.471899691199345,0.4461107031524005,109.8,10.850499220466002,1045.2407230000001,1836.6584154672746,-0.1734338,0.006709235670990315,1504590,2175413.367845293
MAC000271.csv,0.36,0.2503331114069145,0.471899691199345,0.4461107031524005,109.8,10.850499220466002,872.3181845,1857.5015816009288,-0.1353241,0.013769800744543998,3880820,4603090.453356069
MAC000272.csv,0.37,0.2496664441476534,0.44686579112632946,0.45018360491387344,115.6,13.639811012050147,1112.975646,1852.8191478359936,-0.173512,0.01752097449090978,864110,1475456.44195656
MAC000274.csv,0.53,0.3093002855909879,0.300204637573646,0.43574558270511177,125.7,13.614126650080953,54.680799900000125,7669.599589890602,-0.6332968999999999,0.11249237525020676,2308270,2562612.675051252
MAC004539.csv,0.33,0.2496664441476534,0.5478467001001937,0.420774519815856,109.6,10.86482601998046,880.3763846999999,1082.536827944402,-0.0373084,0.007639865272226847,822990,1552711.629125712
