,Average Encryption Ratio,Standard Deviation Encryption Ratio,Average Reidentification Rate,Standard Deviation Reidentification Rate,Average Memory Consumption,Standard Deviation Memory Consumption,Average Summation Error,Standard Deviation Summation Error,Average Deviation Error,Standard Deviation Deviation Error,Average Encryption Time,Standard Deviation Encryption Time
MAC000248.csv,0.58,0.23944379994757295,0.15079486801015646,0.24389852055874267,113.6,9.834180754445747,-1085.5161538,2227.660437635649,-0.3960698,0.04636427775729452,3567510,4303214.5616065
MAC000252.csv,0.61,0.23309511649396117,0.12407865039892489,0.24436734050865166,115.6,12.650867339611322,-2116.3520614,3765.0617115642117,-1.2352849,0.2547823819373223,2572220,3048774.9167311266
MAC000253.csv,0.52,0.2250925735484551,0.20104867511675545,0.2605780182524559,113.9,10.126423082433622,-247.78510770000005,2255.1136942861713,-0.1443182,0.01258070996760075,1562670,3535805.8701266707
MAC000255.csv,0.58,0.25298221281347033,0.17337151712753024,0.26537092077463903,115.1,11.685223337379755,-1133.1001232,3795.18581650495,-0.2536868,0.015147377857423224,1563580,2675264.397649947
MAC000256.csv,0.61,0.23309511649396117,0.12407865039892489,0.24436734050865166,115.6,12.650867339611322,-2300.9580771,4799.82230075698,-0.3055227,0.020730156643295184,3261900,4270533.729588792
MAC000258.csv,0.45,0.20138409955990952,0.2775898245900005,0.3037922314746111,111.2,11.143508324481019,50.91758449999996,1341.158999576906,-0.1737583,0.007852740640481302,2930240,4316130.285388109
MAC000271.csv,0.45,0.20138409955990952,0.2775898245900005,0.3037922314746111,111.2,11.143508324481019,219.42349240000004,1540.3428013094097,-0.1298717,0.008648282861675809,2007580,3123804.198871768
MAC000272.csv,0.47000000000000003,0.23593784492248518,0.2775898245900005,0.3037922314746111,111.5,11.530153704285318,378.26643060000004,1859.5946902934288,-0.1701027,0.01512177153826745,3687090,4436597.45186431
MAC000274.csv,0.61,0.1911950719959998,0.07420587686202922,0.11959080261031858,120.2,11.659998094148882,-2385.5047231,4313.287445535098,-0.6645369999999999,0.09145726154876935,3553930,3668666.579153794
MAC004539.csv,0.47,0.23593784492248518,0.2790843390946547,0.40184611064406556,108.5,10.67967956240053,307.1612771,970.8011707802467,-0.0328898,0.006433672750977211,1353500,3216571.5015283655
