,Average Encryption Ratio,Standard Deviation Encryption Ratio,Average Reidentification Rate,Standard Deviation Reidentification Rate,Average Memory Consumption,Standard Deviation Memory Consumption,Average Summation Error,Standard Deviation Summation Error,Average Deviation Error,Standard Deviation Deviation Error,Average Encryption Time,Standard Deviation Encryption Time
MAC000248.csv,0.45,0.2223610677354389,0.2825794008040779,0.32674418875058725,110.9,14.20054772026613,114.43033859999997,2152.2159185853398,-0.3932296,0.05632659930204676,3023690,4055930.861631314
MAC000252.csv,0.5,0.25819888974716115,0.2821246879293036,0.32431292068400375,117.9,16.223782268975107,-517.2436766000001,3733.6429348504057,-1.3690035,0.3106607437029268,1505160,2368377.3883774895
MAC000253.csv,0.45,0.2223610677354389,0.2825794008040779,0.32674418875058725,110.9,14.20054772026613,284.8209847,2221.202221175906,-0.1474494,0.011214081546579433,1441530,3250493.9303469285
MAC000255.csv,0.47,0.23593784492248518,0.2825794008040779,0.32674418875058725,114.8,14.093339640490546,550.8091536,3668.813294225271,-0.2584849,0.0211514090754677,3418070,3912479.8981521227
MAC000256.csv,0.5,0.25819888974716115,0.2821246879293036,0.32431292068400375,117.9,16.223782268975107,-107.13770769999999,5095.9802390960685,-0.2968152,0.02152908097228284,120780,381939.89579513686
MAC000258.csv,0.35000000000000003,0.12692955176439846,0.37793949066453497,0.31718136033941213,112.7,14.29102282320385,760.3990153,1111.8890047795344,-0.1760777,0.0036276133889928267,3367600,4103828.5958899944
MAC000271.csv,0.4,0.21602468994692867,0.3547312995382551,0.33691636975865147,111.7,14.61392030451332,621.4116769,1678.8447608753333,-0.1323625,0.01059558624302277,1595420,2621822.52336042
MAC000272.csv,0.45,0.2223610677354389,0.2825794008040779,0.32674418875058725,110.9,14.20054772026613,561.6919229,1765.672362268127,-0.1701586,0.013909542968767882,2157970,2782763.4917869363
MAC000274.csv,0.53,0.2496664441476534,0.22941334772311806,0.3229034686037271,115.4,15.005184289290003,-232.18836919999993,5542.657190014095,-0.6388019,0.09587423862939755,1621640,3822833.1844327184
MAC004539.csv,0.42000000000000004,0.17511900715418263,0.27662055552164055,0.30287963197546525,106.5,11.825114516711174,480.1174613,810.0250671866119,-0.0339318,0.004942036665181675,1239950,2912372.236682667
