household_id,Average Encryption Ratio,Standard Deviation Encryption Ratio,Average Reidentification Rate,Standard Deviation Reidentification Rate,Average Advanced Reidentification Rate,Standard Deviation Advanced Reidentification Rate,Reidentification Duration (NS)_mean,Reidentification Duration (NS)_std,Average Memory Consumption,Standard Deviation Memory Consumption,Average Summation Error,Standard Deviation Summation Error,Average Deviation Error,Standard Deviation Deviation Error,Average Encryption Time,Standard Deviation Encryption Time,Average Decryption Time,Standard Deviation Decryption Time,Average Summation Operations Time,Standard Deviation Summation Operations Time,Average Deviation Operations Time,Standard Deviation Deviation Operations Time
MAC000248.csv,0.5133333333333333,0.24193663082165404,0.0026666666666666666,0.004618802153517006,0.010666666666666666,0.014153915830374763,3725342.3333333335,395205.8609083795,6.333333333333333,1.1547005383792517,2149.669923666667,2173.925370189482,5.789543666666667,4.50924975235345e-06,7983100.0,3719242.295145612,0.0,0.0,0.0,0.0,4869133.333333333,5319196.730083719
MAC000252.csv,0.5,0.264575131106459,0.0026666666666666666,0.004618802153517006,0.010666666666666666,0.014153915830374763,3725342.3333333335,395205.8609083795,6.333333333333333,1.1547005383792517,5104.873539,2925.3427120877673,8.496588666666666,2.7024680077608727e-05,364300.0,630986.109197342,0.0,0.0,3673133.3333333335,4730024.495003523,481100.0,833289.6435213869
MAC000253.csv,0.5,0.264575131106459,0.0026666666666666666,0.004618802153517006,0.010666666666666666,0.014153915830374763,3725342.3333333335,395205.8609083795,6.333333333333333,1.1547005383792517,2476.735359,2505.771306480047,3.647698,3.064310689208988e-05,9460666.666666666,3640125.7194406535,0.0,0.0,1896133.3333333333,3284199.271258267,2797900.0,4846104.954496962
MAC000255.csv,0.5,0.264575131106459,0.0026666666666666666,0.004618802153517006,0.010666666666666666,0.014153915830374763,3725342.3333333335,395205.8609083795,6.333333333333333,1.1547005383792517,5922.924488,2236.3407250608816,4.947783,1.2767145334309933e-05,3388666.6666666665,3125023.5732444217,2469233.3333333335,4276837.589075991,117033.33333333333,202707.67951247763,845433.3333333334,1464333.4877456478
MAC000256.csv,0.5,0.264575131106459,0.0026666666666666666,0.004618802153517006,0.010666666666666666,0.014153915830374763,3725342.3333333335,395205.8609083795,6.333333333333333,1.1547005383792517,2912.561615,492.4897031514334,4.695292,2.2538855339246015e-05,8615566.666666666,2893737.7426666245,0.0,0.0,0.0,0.0,1177233.3333333333,2039027.9456970014
MAC000258.csv,0.5,0.264575131106459,0.0026666666666666666,0.004618802153517006,0.010666666666666666,0.014153915830374763,3725342.3333333335,395205.8609083795,6.333333333333333,1.1547005383792517,3241.2892816666667,2061.7430153484534,4.003166,1.946792233367039e-05,3173000.0,3018434.652265972,0.0,0.0,1625366.6666666667,1639477.6312390887,369300.0,639646.3632351864
MAC000271.csv,0.5,0.264575131106459,0.0026666666666666666,0.004618802153517006,0.010666666666666666,0.014153915830374763,3725342.3333333335,395205.8609083795,6.333333333333333,1.1547005383792517,4067.083025666667,2033.715047469809,3.2921563333333332,3.572580766510586e-05,5577566.666666667,4883349.516810499,0.0,0.0,0.0,0.0,684633.3333333334,1185819.7178885723
MAC000272.csv,0.5,0.264575131106459,0.0026666666666666666,0.004618802153517006,0.010666666666666666,0.014153915830374763,3725342.3333333335,395205.8609083795,6.333333333333333,1.1547005383792517,1898.7628456666669,1490.467608124948,3.9299656666666665,2.5540817006046597e-05,5578433.333333333,7248738.240779103,0.0,0.0,0.0,0.0,3217966.6666666665,5573681.763729729
MAC000274.csv,0.5,0.264575131106459,0.0026666666666666666,0.004618802153517006,0.010666666666666666,0.014153915830374763,3725342.3333333335,395205.8609083795,6.333333333333333,1.1547005383792517,7648.274229,5445.16972766012,6.063194,1.4106735979654414e-05,4090633.3333333335,4328955.532612149,0.0,0.0,680266.6666666666,1178256.4293621883,4102133.3333333335,5272739.051321745
MAC004539.csv,0.5833333333333334,0.1258305739211791,0.0026666666666666666,0.004618802153517006,0.010666666666666666,0.014153915830374763,3725342.3333333335,395205.8609083795,6.333333333333333,1.1547005383792517,2373.115359,1572.7813938436698,1.6677083333333333,7.5718777943835e-06,4443200.0,3849035.7143055974,0.0,0.0,0.0,0.0,0.0,0.0
