household_id,Average Encryption Ratio,Standard Deviation Encryption Ratio,Average Reidentification Rate,Standard Deviation Reidentification Rate,Average Advanced Reidentification Rate,Standard Deviation Advanced Reidentification Rate,Reidentification Duration (NS)_mean,Reidentification Duration (NS)_std,Average Memory Consumption,Standard Deviation Memory Consumption,Average Summation Error,Standard Deviation Summation Error,Average Deviation Error,Standard Deviation Deviation Error,Average Encryption Time,Standard Deviation Encryption Time,Average Decryption Time,Standard Deviation Decryption Time,Average Summation Operations Time,Standard Deviation Summation Operations Time,Average Deviation Operations Time,Standard Deviation Deviation Operations Time
MAC000248.csv,0.3866666666666667,0.4631774318048466,0.0033333333333332997,0.0057735026918962,0.007,0.012124355652982142,3716064.3333333335,378248.6256212087,10.0,6.244997998398398,2004.6446673333332,1786.6483583778681,3.8597083333333337,3.3426054678654995,2181966.6666666665,3779277.1270883717,0.0,0.0,0.0,0.0,0.0,0.0
MAC000252.csv,0.3666666666666667,0.47258156262526085,0.0033333333333332997,0.0057735026918962,0.007,0.012124355652982142,3716064.3333333335,378248.6256212087,10.0,6.244997998398398,2345.103974333333,2654.4304170075634,5.664401666666667,4.9055157405724765,6673466.666666667,5818017.746907732,0.0,0.0,0.0,0.0,0.0,0.0
MAC000253.csv,0.3666666666666667,0.47258156262526085,0.0033333333333332997,0.0057735026918962,0.007,0.012124355652982142,3716064.3333333335,378248.6256212087,10.0,6.244997998398398,1402.3525896666667,2187.9435399017593,2.4317963333333332,2.1059974016276306,3676600.0,6368057.999107734,0.0,0.0,0.0,0.0,5297233.333333333,5559321.250236698
MAC000255.csv,0.3666666666666667,0.47258156262526085,0.0033333333333332997,0.0057735026918962,0.007,0.012124355652982142,3716064.3333333335,378248.6256212087,10.0,6.244997998398398,3068.7181289999994,2658.3977277647114,3.298523,2.8566047129830543,6934700.0,6012796.327001273,851566.6666666666,1474956.732698737,0.0,0.0,3339833.3333333335,5784761.022145455
MAC000256.csv,0.3666666666666667,0.47258156262526085,0.0033333333333332997,0.0057735026918962,0.007,0.012124355652982142,3716064.3333333335,378248.6256212087,10.0,6.244997998398398,4524.54341,6476.571588830275,3.1301849999999996,2.7108197285454083,2046666.6666666667,3544930.652824302,0.0,0.0,343833.3333333333,595536.8026690991,1931766.6666666667,3345918.015034638
MAC000258.csv,0.4466666666666667,0.45003703551300456,0.0033333333333332997,0.0057735026918962,0.007,0.012124355652982142,3716064.3333333335,378248.6256212087,10.0,6.244997998398398,1560.4825900000003,1570.6720810266909,2.668791666666667,2.3112413807571754,4197733.333333333,5249124.317763234,0.0,0.0,0.0,0.0,0.0,0.0
MAC000271.csv,0.4066666666666667,0.4562163229580166,0.0033333333333332997,0.0057735026918962,0.007,0.012124355652982142,3716064.3333333335,378248.6256212087,10.0,6.244997998398398,2147.4126410000003,3266.666716554019,2.194768,1.9007248434260546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAC000272.csv,0.39666666666666667,0.4593836450433704,0.0033333333333332997,0.0057735026918962,0.007,0.012124355652982142,3716064.3333333335,378248.6256212087,10.0,6.244997998398398,725.1313846666667,861.8778057752409,2.6199553333333334,2.268947875455127,5553466.666666667,5132341.85370902,0.0,0.0,0.0,0.0,5071900.0,5068902.66329903
MAC000274.csv,0.3666666666666667,0.47258156262526085,0.0033333333333332997,0.0057735026918962,0.007,0.012124355652982142,3716064.3333333335,378248.6256212087,10.0,6.244997998398398,3681.87282,5259.881403876606,4.042116666666667,3.5005757184218047,2538033.3333333335,4396002.68463673,0.0,0.0,0.0,0.0,0.0,0.0
MAC004539.csv,0.4666666666666666,0.4509249752822894,0.0033333333333332997,0.0057735026918962,0.007,0.012124355652982142,3716064.3333333335,378248.6256212087,10.0,6.244997998398398,699.9908203333334,614.8806786656609,1.1118313333333332,0.9628741793922678,4633700.0,5237395.208498209,345933.3333333333,599174.1093649936,0.0,0.0,0.0,0.0
