approach,tolerance,ratio,asr,preprocessing_time,encryption_time,attack_time,total_time
adaptive,0.05,0,0.0800,321.2413ms,6.1832ms,18.6784685s,19.005893s
adaptive,0.05,10,0.0850,369.8295ms,20.7910601s,22.0971162s,43.2580058s
adaptive,0.05,20,0.0610,352.356ms,40.2716735s,16.1102994s,56.7343289s
adaptive,0.05,30,0.0610,368.1791ms,55.1537817s,14.547717s,1m10.0696778s
adaptive,0.05,40,0.0490,369.9887ms,1m9.5744481s,12.7936346s,1m22.7380714s
adaptive,0.05,50,0.0340,379.8951ms,1m29.0961194s,8.9550839s,1m38.4310984s
adaptive,0.05,60,0.0330,367.5743ms,1m43.241879s,8.5478223s,1m52.1572756s
adaptive,0.05,70,0.0200,364.6178ms,1m57.282219s,5.3019409s,2m2.9487777s
adaptive,0.05,80,0.0150,378.3106ms,2m9.3189497s,3.9761196s,2m13.6733799s
adaptive,0.05,90,0.0070,381.1477ms,2m18.3951161s,1.8421264s,2m20.6183902s
