approach,tolerance,ratio,asr,preprocessing_time,encryption_time,attack_time,total_time
adaptive,0.05,0,0.0371,318.937ms,8.5062ms,1m11.6684756s,1m11.9959188s
adaptive,0.05,10,0.0347,303.3383ms,14.5233314s,1m7.0825355s,1m21.9092052s
adaptive,0.05,20,0.0315,295.3819ms,27.9155805s,1m0.8221478s,1m29.0331102s
adaptive,0.05,30,0.0268,295.5837ms,40.3754368s,51.9366831s,1m32.6077036s
adaptive,0.05,40,0.0252,297.0227ms,51.8348969s,48.7538549s,1m40.8857745s
adaptive,0.05,50,0.0213,295.7655ms,1m2.7481592s,41.3963332s,1m44.4402579s
adaptive,0.05,60,0.0152,299.9122ms,1m12.9371882s,29.3837403s,1m42.6208407s
adaptive,0.05,70,0.0135,297.4199ms,1m24.2810295s,26.6840489s,1m51.2624983s
adaptive,0.05,80,0.0069,296.5374ms,1m32.2455759s,13.3965241s,1m45.9386374s
adaptive,0.05,90,0.0055,297.2888ms,1m41.4902591s,10.6748778s,1m52.4624257s
