approach,tolerance,ratio,asr,preprocessing_time,encryption_time,attack_time,total_time
adaptive,0.05,0,0.0070,406.051ms,7.242ms,1.8154025s,2.2286955s
adaptive,0.05,10,0.0080,339.2292ms,18.2535184s,2.0934596s,20.6862072s
adaptive,0.05,20,0.0080,354.1408ms,36.1743225s,1.9780373s,38.5065006s
adaptive,0.05,30,0.0060,357.9444ms,52.0922126s,1.6072152s,54.0573722s
adaptive,0.05,40,0.0060,383.21ms,1m13.6300192s,1.5832246s,1m15.5964538s
adaptive,0.05,50,0.0030,374.139ms,1m29.4967056s,765.69ms,1m30.6365346s
adaptive,0.05,60,0.0020,374.3368ms,1m38.8329125s,483.9608ms,1m39.6912101s
adaptive,0.05,70,0.0020,357.4573ms,1m45.7433208s,478.8322ms,1m46.5796103s
adaptive,0.05,80,0.0000,346.9935ms,1m57.5461458s,0s,1m57.8931393s
adaptive,0.05,90,0.0000,366.7309ms,2m10.7093223s,998.3µs,2m11.0770515s
