approach,tolerance,ratio,asr,preprocessing_time,encryption_time,attack_time,total_time
adaptive,0.05,0,0.1942,323.7606ms,7.5068ms,6m15.542286s,6m15.8735534s
adaptive,0.05,10,0.1708,295.3601ms,14.52953s,5m30.3067636s,5m45.1316537s
adaptive,0.05,20,0.1512,294.2179ms,28.0508815s,4m52.144046s,5m20.4891454s
adaptive,0.05,30,0.1284,295.9833ms,40.628495s,4m8.1808858s,4m49.1053641s
adaptive,0.05,40,0.1073,298.0394ms,52.0426186s,3m27.5422682s,4m19.8829262s
adaptive,0.05,50,0.0973,296.562ms,1m3.0711309s,3m8.5122186s,4m11.8799115s
adaptive,0.05,60,0.0770,295.9006ms,1m13.0277668s,2m29.0439755s,3m42.3676429s
adaptive,0.05,70,0.0548,295.9152ms,1m22.7133807s,1m46.2770078s,3m9.2863037s
adaptive,0.05,80,0.0346,298.8075ms,1m32.1717133s,1m7.0710886s,2m39.5416094s
adaptive,0.05,90,0.0192,295.8252ms,1m41.4733167s,38.7531855s,2m20.5223274s
