approach,tolerance,ratio,asr,preprocessing_time,encryption_time,attack_time,total_time
adaptive,0.05,0,0.1730,370.9869ms,6.5119ms,41.9916032s,42.369102s
adaptive,0.05,10,0.1570,367.2327ms,18.6440082s,40.3902133s,59.4014542s
adaptive,0.05,20,0.1590,364.9391ms,36.4482388s,38.1233211s,1m14.936499s
adaptive,0.05,30,0.1250,366.4164ms,53.2364016s,30.2065094s,1m23.8093274s
adaptive,0.05,40,0.1090,356.3239ms,1m6.9290553s,25.9079831s,1m33.1933623s
adaptive,0.05,50,0.0960,357.1656ms,1m20.08041s,23.4814901s,1m43.9190657s
adaptive,0.05,60,0.0760,356.5661ms,1m31.710695s,15.9121148s,1m47.9793759s
adaptive,0.05,70,0.0630,318.482ms,1m29.0922699s,13.3494812s,1m42.7602331s
adaptive,0.05,80,0.0380,323.4011ms,1m39.9680392s,7.8821835s,1m48.1736238s
adaptive,0.05,90,0.0200,317.0714ms,2m25.5972967s,5.854194s,2m31.7685621s
