approach,tolerance,ratio,asr,preprocessing_time,encryption_time,attack_time,total_time
adaptive,0.05,0,0.4790,339.9667ms,8.5093ms,1m38.9517842s,1m39.3002602s
adaptive,0.05,10,0.4520,308.1061ms,16.0267917s,1m32.4826534s,1m48.8175512s
adaptive,0.05,20,0.3910,304.6536ms,29.2285205s,1m40.2279753s,2m9.7611494s
adaptive,0.05,30,0.3370,377.957ms,57.4019801s,1m28.9965063s,2m26.7764434s
adaptive,0.05,40,0.2890,367.9577ms,1m13.8836364s,1m15.8905673s,2m30.1421614s
adaptive,0.05,50,0.2500,389.4122ms,1m28.4605156s,1m1.6468905s,2m30.4968183s
adaptive,0.05,60,0.2110,359.9437ms,1m34.9650809s,42.241809s,2m17.5668336s
adaptive,0.05,70,0.1670,304.636ms,1m26.0821759s,33.3996111s,1m59.786423s
adaptive,0.05,80,0.1050,307.8665ms,1m40.7055471s,25.4588331s,2m6.4722467s
adaptive,0.05,90,0.0520,356.8294ms,2m10.3197287s,12.6886362s,2m23.3651943s
