approach,tolerance,ratio,asr,preprocessing_time,encryption_time,attack_time,total_time
adaptive,0.05,0,0.8760,322.28ms,7.6765ms,3m2.2768432s,3m2.6067997s
adaptive,0.05,10,0.7770,313.0953ms,15.7366392s,2m40.5290767s,2m56.5788112s
adaptive,0.05,20,0.6920,333.215ms,30.21782s,2m23.191494s,2m53.742529s
adaptive,0.05,30,0.6180,402.5137ms,43.845761s,2m8.9954206s,2m53.2436953s
adaptive,0.05,40,0.4930,311.6457ms,57.041977s,1m43.0382564s,2m40.3918791s
adaptive,0.05,50,0.4460,307.26ms,1m20.5696413s,1m42.6199731s,3m3.4968744s
adaptive,0.05,60,0.3360,473.3181ms,1m27.2282858s,1m13.7923034s,2m41.4939073s
adaptive,0.05,70,0.2760,353.2888ms,1m40.8083776s,59.5261662s,2m40.6878326s
adaptive,0.05,80,0.1580,323.4762ms,1m45.3117676s,34.9542432s,2m20.589487s
adaptive,0.05,90,0.0870,325.4836ms,1m56.7468654s,18.937759s,2m16.010108s
