approach,tolerance,ratio,asr,preprocessing_time,encryption_time,attack_time,total_time
adaptive,0.05,0,0.1470,398.5906ms,10.5087ms,36.8813502s,37.2904495s
adaptive,0.05,10,0.1110,392.6183ms,21.6096055s,29.3185351s,51.3207589s
adaptive,0.05,20,0.1050,388.4378ms,40.7945511s,26.9253274s,1m8.1083163s
adaptive,0.05,30,0.1030,334.0575ms,49.6585709s,20.9729572s,1m10.9655856s
adaptive,0.05,40,0.0820,335.7953ms,57.2323317s,18.142243s,1m15.71037s
adaptive,0.05,50,0.0670,366.5005ms,1m14.0156047s,14.22061s,1m28.6027152s
adaptive,0.05,60,0.0570,319.3374ms,1m24.7799412s,12.8756999s,1m37.9749785s
adaptive,0.05,70,0.0400,310.0531ms,1m31.3875452s,8.1243581s,1m39.8219564s
adaptive,0.05,80,0.0300,312.5019ms,1m42.22486s,6.0517023s,1m48.5890642s
adaptive,0.05,90,0.0150,311.3306ms,1m50.3298232s,3.0291649s,1m53.6703187s
