approach,tolerance,ratio,asr,preprocessing_time,encryption_time,attack_time,total_time
adaptive,0.05,0,0.5780,408.4402ms,8.5134ms,2m35.7670102s,2m36.1839638s
adaptive,0.05,10,0.5140,401.7269ms,22.4161885s,2m13.7027327s,2m36.5206481s
adaptive,0.05,20,0.4810,366.3828ms,38.7488138s,2m8.8041302s,2m47.9193268s
adaptive,0.05,30,0.4100,379.28ms,59.1969849s,1m45.9066338s,2m45.4828987s
adaptive,0.05,40,0.3570,376.4342ms,1m12.890718s,1m30.2351024s,2m43.5022546s
adaptive,0.05,50,0.3100,314.1119ms,1m8.3186213s,1m4.4289027s,2m13.0616359s
adaptive,0.05,60,0.2170,353.6663ms,1m23.475801s,49.1008923s,2m12.9303596s
adaptive,0.05,70,0.1780,315.5951ms,1m30.2845207s,37.1465656s,2m7.7466814s
adaptive,0.05,80,0.1130,319.0574ms,1m40.2766178s,23.3742537s,2m3.9699289s
adaptive,0.05,90,0.0580,328.1045ms,1m49.4332431s,11.9061773s,2m1.6675249s
