approach,tolerance,ratio,asr,preprocessing_time,encryption_time,attack_time,total_time
adaptive,0.05,0,0.4932,346.7286ms,8.0115ms,15m53.0023061s,15m53.3570462s
adaptive,0.05,10,0.4362,296.4597ms,14.9066357s,14m3.4201512s,14m18.6232466s
adaptive,0.05,20,0.3953,295.543ms,28.035848s,12m44.8740692s,13m13.2054602s
adaptive,0.05,30,0.3412,299.0697ms,40.4647748s,11m0.1744757s,11m40.9383202s
adaptive,0.05,40,0.2911,299.0489ms,52.0912422s,9m23.0911172s,10m15.4814083s
adaptive,0.05,50,0.2503,296.5422ms,1m3.0696009s,8m4.6731689s,9m8.039312s
adaptive,0.05,60,0.1968,301.8971ms,1m13.1864855s,6m20.7481734s,7m34.236556s
adaptive,0.05,70,0.1468,299.1641ms,1m22.8671631s,4m44.3057978s,6m7.472125s
adaptive,0.05,80,0.0992,297.0146ms,1m32.3186882s,3m12.1434843s,4m44.7591871s
adaptive,0.05,90,0.0482,296.8047ms,1m41.218192s,1m33.5972922s,3m15.1122889s
