approach,tolerance,ratio,asr,preprocessing_time,encryption_time,attack_time,total_time
adaptive,0.05,0,0.1040,337.3346ms,7.5084ms,20.9617645s,21.3066075s
adaptive,0.05,10,0.1050,304.5201ms,16.1010563s,21.6384504s,38.0440268s
adaptive,0.05,20,0.0730,304.9107ms,29.4445579s,14.7280739s,44.4775425s
adaptive,0.05,30,0.0880,308.2364ms,42.2766992s,17.7114681s,1m0.2964037s
adaptive,0.05,40,0.0630,307.1246ms,54.4785398s,12.7478734s,1m7.5335378s
adaptive,0.05,50,0.0520,310.2633ms,1m6.8314672s,13.8307982s,1m20.9725287s
adaptive,0.05,60,0.0530,390.3452ms,1m41.1628753s,12.5208811s,1m54.0741016s
adaptive,0.05,70,0.0350,355.8911ms,1m52.7491296s,9.1777145s,2m2.2827352s
adaptive,0.05,80,0.0250,380.3715ms,2m9.4234343s,6.4046739s,2m16.2084797s
adaptive,0.05,90,0.0110,360.0196ms,2m18.2210193s,2.9537579s,2m21.5347968s
