approach,tolerance,ratio,asr,preprocessing_time,encryption_time,attack_time,total_time
adaptive,0.05,0,0.0230,388.5953ms,12.0192ms,5.4684584s,5.8690729s
adaptive,0.05,10,0.0290,350.7749ms,18.4570746s,7.2179635s,26.025813s
adaptive,0.05,20,0.0170,367.3648ms,35.8142489s,4.1582096s,40.3398233s
adaptive,0.05,30,0.0110,395.3251ms,51.8747433s,2.6104887s,54.8805571s
adaptive,0.05,40,0.0170,374.0246ms,1m10.7191213s,4.5365215s,1m15.6296674s
adaptive,0.05,50,0.0130,377.4753ms,1m28.983107s,3.4918512s,1m32.8524335s
adaptive,0.05,60,0.0060,380.4786ms,1m41.291739s,1.426573s,1m43.0987906s
adaptive,0.05,70,0.0160,364.5679ms,1m51.0658251s,4.1863862s,1m55.6167792s
adaptive,0.05,80,0.0050,384.1909ms,2m11.5243131s,1.3328282s,2m13.2413322s
adaptive,0.05,90,0.0040,377.5424ms,2m12.2910707s,1.0171493s,2m13.6857624s
