approach,tolerance,ratio,asr,preprocessing_time,encryption_time,attack_time,total_time
adaptive,0.05,0,0.0310,368.5524ms,6.5115ms,7.4477127s,7.8227766s
adaptive,0.05,10,0.0430,353.2015ms,18.5920676s,10.1484181s,29.0936872s
adaptive,0.05,20,0.0360,360.8365ms,36.0231065s,8.4591521s,44.8430951s
adaptive,0.05,30,0.0290,360.9713ms,54.6996511s,7.6568979s,1m2.7175203s
adaptive,0.05,40,0.0280,398.7399ms,1m13.7698331s,7.3775782s,1m21.5461512s
adaptive,0.05,50,0.0180,366.9765ms,1m27.0524873s,4.7010231s,1m32.1204869s
adaptive,0.05,60,0.0110,378.6178ms,1m42.863836s,2.886663s,1m46.1291168s
adaptive,0.05,70,0.0080,368.7747ms,1m56.809948s,2.0888699s,1m59.2675926s
adaptive,0.05,80,0.0080,371.0729ms,2m0.7717233s,1.921946s,2m3.0647422s
adaptive,0.05,90,0.0060,339.4718ms,2m8.7240404s,1.5327967s,2m10.5963089s
