approach,tolerance,ratio,asr,preprocessing_time,encryption_time,attack_time,total_time
adaptive,0.05,0,0.0000,370.9485ms,7ms,1.001ms,0.3789495s
adaptive,0.05,10,0.0000,356.0745ms,18.8835871s,0s,19.2396616s
adaptive,0.05,20,0.0000,376.2569ms,40.5508618s,0s,40.9271187s
adaptive,0.05,30,0.0000,364.841ms,52.5141454s,0s,52.8789864s
adaptive,0.05,40,0.0000,354.0944ms,1m9.2723454s,0s,1m9.6264398s
adaptive,0.05,50,0.0000,375.4654ms,1m28.99556s,0s,1m29.3710254s
adaptive,0.05,60,0.0000,359.4051ms,1m42.9933286s,0s,1m43.3527337s
adaptive,0.05,70,0.0000,350.2268ms,1m52.1167779s,0s,1m52.4670047s
adaptive,0.05,80,0.0000,390.6439ms,2m9.9144235s,0s,2m10.3050674s
adaptive,0.05,90,0.0000,378.2858ms,2m23.5037328s,1.5536ms,2m23.8835722s
