approach,tolerance,ratio,asr,preprocessing_time,encryption_time,attack_time,total_time
adaptive,0.05,0,0.4110,316.4421ms,6.0123ms,1m24.7578589s,1m25.0803133s
adaptive,0.05,10,0.3490,309.7776ms,15.7762464s,1m11.4589246s,1m27.5449486s
adaptive,0.05,20,0.3310,311.8055ms,30.4217113s,1m8.3406074s,1m39.0741242s
adaptive,0.05,30,0.2930,324.2554ms,42.9003739s,1m1.7475474s,1m44.9721767s
adaptive,0.05,40,0.2600,316.9713ms,57.732954s,54.6768532s,1m52.7267785s
adaptive,0.05,50,0.2120,318.4342ms,1m9.7429744s,43.625033s,1m53.6864416s
adaptive,0.05,60,0.1670,313.9402ms,1m20.9285616s,35.6717017s,1m56.9142035s
adaptive,0.05,70,0.1270,314.2173ms,1m32.1727816s,26.8791981s,1m59.366197s
adaptive,0.05,80,0.0930,312.8705ms,1m41.3088078s,19.5316554s,2m1.1533337s
adaptive,0.05,90,0.0470,320.335ms,1m52.6801872s,9.5204138s,2m2.520936s
