approach,tolerance,ratio,asr,preprocessing_time,encryption_time,attack_time,total_time
adaptive,0.05,0,0.2510,373.8068ms,8.2535ms,1m4.1766129s,1m4.5586732s
adaptive,0.05,10,0.2000,377.0953ms,20.4075059s,50.4567915s,1m11.2413927s
adaptive,0.05,20,0.1760,369.9351ms,36.3189215s,43.8219648s,1m20.5108214s
adaptive,0.05,30,0.1550,370.6967ms,55.0964664s,39.6232189s,1m35.090382s
adaptive,0.05,40,0.1290,391.0861ms,1m12.9054988s,34.0184014s,1m47.3149863s
adaptive,0.05,50,0.1110,356.6729ms,1m15.4241193s,23.6725727s,1m39.4533649s
adaptive,0.05,60,0.1090,322.5141ms,1m20.8793662s,23.2341936s,1m44.4360739s
adaptive,0.05,70,0.0810,318.3443ms,1m31.8563398s,17.4189994s,1m49.5936835s
adaptive,0.05,80,0.0540,376.4799ms,2m7.6550332s,14.4323957s,2m22.4639088s
adaptive,0.05,90,0.0260,388.9755ms,2m21.4462032s,6.3606421s,2m28.1958208s
