approach,tolerance,ratio,asr,preprocessing_time,encryption_time,attack_time,total_time
adaptive,0.05,0,0.0010,403.3858ms,6.5098ms,297.3269ms,0.7072225s
adaptive,0.05,10,0.0010,378.3011ms,20.8813482s,282.4847ms,21.542134s
adaptive,0.05,20,0.0000,376.4063ms,40.0358585s,1.0054ms,40.4132702s
adaptive,0.05,30,0.0000,368.7982ms,57.0309964s,0s,57.3997946s
adaptive,0.05,40,0.0000,372.3292ms,1m13.9271286s,0s,1m14.2994578s
adaptive,0.05,50,0.0000,364.1997ms,1m20.4420162s,0s,1m20.8062159s
adaptive,0.05,60,0.0000,368.2521ms,1m32.4568349s,0s,1m32.825087s
adaptive,0.05,70,0.0010,353.7653ms,1m45.5382527s,230.5398ms,1m46.1225578s
adaptive,0.05,80,0.0000,347.8835ms,1m56.6297901s,0s,1m56.9776736s
adaptive,0.05,90,0.0000,359.767ms,2m9.9769377s,0s,2m10.3367047s
