approach,tolerance,ratio,asr,preprocessing_time,encryption_time,attack_time,total_time
adaptive,0.05,0,0.0110,399.225ms,9.3795ms,2.6582351s,3.0668396s
adaptive,0.05,10,0.0100,347.5622ms,18.5746593s,2.5933305s,21.515552s
adaptive,0.05,20,0.0040,358.1292ms,39.7463776s,1.0219095s,41.1264163s
adaptive,0.05,30,0.0050,384.6919ms,57.4357211s,1.2986991s,59.1191121s
adaptive,0.05,40,0.0050,360.8497ms,1m12.8706357s,1.1891054s,1m14.4205908s
adaptive,0.05,50,0.0030,362.0133ms,1m21.0166455s,755.9818ms,1m22.1346406s
adaptive,0.05,60,0.0060,349.9842ms,1m37.9843996s,1.5996504s,1m39.9340342s
adaptive,0.05,70,0.0020,362.9172ms,1m56.0927924s,472.6634ms,1m56.928373s
adaptive,0.05,80,0.0000,360.2393ms,1m57.8342074s,1.0055ms,1m58.1954522s
adaptive,0.05,90,0.0030,350.6054ms,2m16.2384554s,851.3441ms,2m17.4404049s
