approach,tolerance,ratio,asr,preprocessing_time,encryption_time,attack_time,total_time
adaptive,0.05,0,0.0550,393.7331ms,9.5106ms,14.4594963s,14.86274s
adaptive,0.05,10,0.0650,368.8808ms,20.7631136s,17.1553317s,38.2873261s
adaptive,0.05,20,0.0560,379.5429ms,39.8214767s,14.6594065s,54.8604261s
adaptive,0.05,30,0.0430,374.4478ms,57.1861715s,10.9814773s,1m8.5420966s
adaptive,0.05,40,0.0380,346.5832ms,1m6.0923921s,9.2900049s,1m15.7289802s
adaptive,0.05,50,0.0260,363.3617ms,1m21.0884s,6.1387034s,1m27.5904651s
adaptive,0.05,60,0.0230,360.6746ms,1m38.6943491s,5.9231343s,1m44.978158s
adaptive,0.05,70,0.0120,375.8821ms,1m45.3579924s,2.8668916s,1m48.6007661s
adaptive,0.05,80,0.0120,361.2045ms,1m57.5788257s,2.8403484s,2m0.7803786s
adaptive,0.05,90,0.0080,375.6164ms,2m9.2615096s,1.9497817s,2m11.5869077s
