approach,tolerance,ratio,asr,preprocessing_time,encryption_time,attack_time,total_time
adaptive,0.05,0,0.9990,316.8408ms,6.5062ms,3m24.3382232s,3m24.6615702s
adaptive,0.05,10,0.9000,302.4854ms,14.7952546s,2m55.3357246s,3m10.4334646s
adaptive,0.05,20,0.8190,300.7694ms,28.5023389s,2m39.7375079s,3m8.5406162s
adaptive,0.05,30,0.6960,300.071ms,41.1369228s,2m20.8977248s,3m2.3347186s
adaptive,0.05,40,0.6140,309.8672ms,55.2299566s,2m7.2482761s,3m2.7880999s
adaptive,0.05,50,0.4790,308.2861ms,1m8.4860969s,1m39.8292104s,2m48.6235934s
adaptive,0.05,60,0.3950,311.1066ms,1m18.150731s,1m21.2957354s,2m39.757573s
adaptive,0.05,70,0.2920,313.4387ms,1m28.7056604s,1m0.0248308s,2m29.0439299s
adaptive,0.05,80,0.2070,315.0438ms,1m39.4777638s,42.3924457s,2m22.1852533s
adaptive,0.05,90,0.1020,310.2377ms,1m48.8925863s,21.286457s,2m10.489281s
