approach,tolerance,ratio,asr,preprocessing_time,encryption_time,attack_time,total_time
adaptive,0.05,0,0.2940,342.3424ms,8.0544ms,1m0.5627075s,1m0.9131043s
adaptive,0.05,10,0.2510,307.6258ms,15.47573s,51.1753667s,1m6.9587225s
adaptive,0.05,20,0.2480,307.2407ms,30.0676043s,50.4089041s,1m20.7837491s
adaptive,0.05,30,0.1830,310.2392ms,42.9735523s,37.3970327s,1m20.6808242s
adaptive,0.05,40,0.1740,306.9323ms,55.0887633s,35.3624413s,1m30.7581369s
adaptive,0.05,50,0.1610,308.8878ms,1m6.7143243s,32.5347023s,1m39.5579144s
adaptive,0.05,60,0.1050,306.6786ms,1m17.3550885s,21.4227304s,1m39.0844975s
adaptive,0.05,70,0.0840,312.3935ms,1m27.6287811s,17.0720811s,1m45.0132557s
adaptive,0.05,80,0.0450,316.8832ms,1m37.4806817s,9.1322297s,1m46.9297946s
adaptive,0.05,90,0.0350,308.1779ms,1m46.951552s,7.1181418s,1m54.3778717s
