approach,tolerance,ratio,asr,preprocessing_time,encryption_time,attack_time,total_time
adaptive,0.05,0,0.6760,336.955ms,5.6167ms,2m32.8120379s,2m33.1546096s
adaptive,0.05,10,0.6180,377.7239ms,22.3728493s,2m51.0041821s,3m13.7547553s
adaptive,0.05,20,0.5340,389.7899ms,43.3680389s,2m23.2147392s,3m6.972568s
adaptive,0.05,30,0.4460,350.1603ms,46.8337249s,1m31.700768s,2m18.8846532s
adaptive,0.05,40,0.3810,309.8168ms,56.7966809s,1m18.8831458s,2m15.9896435s
adaptive,0.05,50,0.3170,332.105ms,1m8.8277042s,1m5.7172291s,2m14.8770383s
adaptive,0.05,60,0.2970,306.8735ms,1m18.7098663s,1m5.08856s,2m24.1052998s
adaptive,0.05,70,0.1800,321.0842ms,1m32.3589349s,38.6767275s,2m11.3567466s
adaptive,0.05,80,0.1240,327.8467ms,1m46.8436019s,35.1853048s,2m22.3567534s
adaptive,0.05,90,0.0760,393.6083ms,2m41.9669381s,21.426614s,3m3.7871604s
